neighbor;price;days_in_market;expenses;util;n_bathrooms;n_rooms;parking;scraping_day;longitude;latitude;price_util
aguas norte;3000.0;7.0;750.0;106.0;2.0;3.0;2.0;2020-04-03;-48.0352861849996;-15.8406522829996;28.30188679245283
lago norte;3500.0;8.0;;150.0;3.0;3.0;3.0;2020-04-03;-47.8701841109996;-15.7368455579996;23.333333333333332
asa norte;4800.0;365.0;;85.0;3.0;3.0;2.0;2020-04-03;-47.8885244219996;-15.7570265639996;56.470588235294116
samambaia sul;1300.0;1.0;;90.0;1.0;3.0;2.0;2020-04-03;-47.99623010399961;-15.9989154819996;14.444444444444445
taguatinga norte;1200.0;6.0;;70.0;1.0;2.0;2.0;2020-04-03;-47.8114992209996;-15.645707819999599;17.142857142857142
grande colorado;2750.0;8.0;285.0;220.0;4.0;3.0;2.0;2020-04-03;-47.8503815359996;-15.6675970869996;12.5
riacho fundo ii;1100.0;151.0;;100.0;1.0;3.0;2.0;2020-04-03;-48.0561196639996;-15.8672341249996;11.0
aguas sul;2200.0;2.0;934.0;107.0;2.0;3.0;2.0;2020-04-15;-47.7930647829996;-15.8769979429996;20.560747663551403
noroeste;12500.0;4.0;1650.0;260.0;4.0;3.0;3.0;2020-04-15;-47.9107855909996;-15.741443107999599;48.07692307692308
lago norte;3950.0;0.0;;198.0;1.0;2.0;2.0;2020-04-15;-47.8303043389996;-15.7581073019996;19.949494949494948
asa norte;4000.0;365.0;760.0;74.0;3.0;2.0;2.0;2020-04-15;-47.8853064299996;-15.7540054879996;54.054054054054056
grande colorado;2750.0;20.0;285.0;220.0;4.0;3.0;2.0;2020-04-15;-47.8503815359996;-15.6675970869996;12.5
samambaia sul;1300.0;13.0;;90.0;1.0;3.0;2.0;2020-04-15;-47.99623010399961;-15.9989154819996;14.444444444444445
taguatinga norte;1200.0;18.0;;70.0;1.0;2.0;2.0;2020-04-15;-47.8114992209996;-15.645707819999599;17.142857142857142
samambaia norte;1500.0;6.0;;150.0;2.0;2.0;2.0;2020-04-15;-48.0775303269996;-15.864103852999596;10.0
setor oeste;1200.0;9.0;;165.0;2.0;3.0;2.0;2020-04-15;-47.82432715899961;-15.6414935609996;7.2727272727272725
samambaia;1300.0;17.0;;70.0;1.0;3.0;2.0;2020-03-17;-48.0772929429996;-15.8564561489996;18.571428571428573
centro;3000.0;4.0;925.0;163.0;3.0;3.0;3.0;2020-03-17;-48.0212437159996;-15.8420951119996;18.404907975460123
guara ii;4200.0;0.0;;200.0;1.0;3.0;3.0;2020-03-17;-47.783721316999596;-15.7739828479996;21.0
riacho fundo ii;1100.0;134.0;;100.0;1.0;3.0;2.0;2020-03-17;-48.0561196639996;-15.8672341249996;11.0
park sul;4000.0;1.0;932.0;73.0;2.0;2.0;2.0;2020-03-20;-47.959307372999604;-15.8317708619996;54.794520547945204
riacho fundo ii;1100.0;137.0;;100.0;1.0;3.0;2.0;2020-03-20;-48.0561196639996;-15.8672341249996;11.0
riacho fundo ii;1700.0;3.0;;250.0;3.0;3.0;2.0;2020-03-20;-47.7746276119996;-15.647752106999599;6.8
guara ii;4200.0;3.0;;200.0;1.0;3.0;3.0;2020-03-20;-47.783721316999596;-15.7739828479996;21.0
lago sul;8000.0;0.0;2000.0;250.0;2.0;3.0;3.0;2020-03-20;-47.8288073839996;-15.848345975999598;32.0
samambaia sul;1300.0;0.0;;90.0;1.0;3.0;2.0;2020-03-30;-47.99623010399961;-15.9989154819996;14.444444444444445
guara ii;4200.0;0.0;;200.0;1.0;3.0;3.0;2020-03-30;-47.783721316999596;-15.7739828479996;21.0
park sul;4000.0;11.0;932.0;73.0;2.0;2.0;2.0;2020-03-30;-47.959307372999604;-15.8317708619996;54.794520547945204
lago norte;3500.0;4.0;;150.0;3.0;3.0;3.0;2020-03-30;-47.8701841109996;-15.7368455579996;23.333333333333332
centro;2500.0;5.0;631.0;93.0;2.0;3.0;2.0;2020-03-30;-48.023717878999605;-15.8431442649996;26.881720430107528
taguatinga norte;1200.0;2.0;;70.0;1.0;2.0;2.0;2020-03-30;-47.8114992209996;-15.645707819999599;17.142857142857142
grande colorado;2750.0;4.0;285.0;220.0;4.0;3.0;2.0;2020-03-30;-47.8503815359996;-15.6675970869996;12.5
riacho fundo ii;1100.0;147.0;;100.0;1.0;3.0;2.0;2020-03-30;-48.0561196639996;-15.8672341249996;11.0
park sul;4000.0;6.0;932.0;73.0;2.0;2.0;2.0;2020-03-25;-47.959307372999604;-15.8317708619996;54.794520547945204
centro;2800.0;0.0;636.0;93.0;2.0;3.0;2.0;2020-03-25;-48.023717878999605;-15.8431442649996;30.107526881720432
centro;4000.0;0.0;;170.0;1.0;2.0;2.0;2020-03-25;-47.7829148879996;-15.771316052999596;23.529411764705884
guara ii;4200.0;0.0;;200.0;1.0;3.0;3.0;2020-03-25;-47.783721316999596;-15.7739828479996;21.0
asa norte;4800.0;365.0;;85.0;3.0;3.0;2.0;2020-03-25;-47.8885244219996;-15.7570265639996;56.470588235294116
riacho fundo ii;1100.0;142.0;;100.0;1.0;3.0;2.0;2020-03-25;-48.0561196639996;-15.8672341249996;11.0
guara ii;4200.0;0.0;;200.0;1.0;3.0;3.0;2020-03-26;-47.783721316999596;-15.7739828479996;21.0
aguas sul;2200.0;0.0;934.0;107.0;2.0;3.0;2.0;2020-03-26;-47.7930647829996;-15.8769979429996;20.560747663551403
centro;4000.0;0.0;;170.0;1.0;2.0;2.0;2020-03-26;-47.7829148879996;-15.771316052999596;23.529411764705884
centro;2500.0;1.0;631.0;93.0;2.0;3.0;2.0;2020-03-26;-48.023717878999605;-15.8431442649996;26.881720430107528
asa norte;4800.0;365.0;;85.0;3.0;3.0;2.0;2020-03-26;-47.8885244219996;-15.7570265639996;56.470588235294116
asa norte;4800.0;365.0;;85.0;3.0;3.0;2.0;2020-03-24;-47.8885244219996;-15.7570265639996;56.470588235294116
guara ii;4200.0;7.0;;200.0;1.0;3.0;3.0;2020-03-24;-47.783721316999596;-15.7739828479996;21.0
noroeste;12500.0;9.0;1650.0;260.0;4.0;3.0;3.0;2020-04-20;-47.9107855909996;-15.741443107999599;48.07692307692308
aguas norte;3000.0;10.0;750.0;106.0;2.0;3.0;2.0;2020-04-06;-48.0352861849996;-15.8406522829996;28.30188679245283
lago norte;3500.0;11.0;;150.0;3.0;3.0;3.0;2020-04-06;-47.8701841109996;-15.7368455579996;23.333333333333332
samambaia sul;1300.0;4.0;;90.0;1.0;3.0;2.0;2020-04-06;-47.99623010399961;-15.9989154819996;14.444444444444445
asa norte;4800.0;365.0;;85.0;3.0;3.0;2.0;2020-04-06;-47.8885244219996;-15.7570265639996;56.470588235294116
taguatinga norte;1200.0;9.0;;70.0;1.0;2.0;2.0;2020-04-06;-47.8114992209996;-15.645707819999599;17.142857142857142
grande colorado;2750.0;11.0;285.0;220.0;4.0;3.0;2.0;2020-04-06;-47.8503815359996;-15.6675970869996;12.5
centro;3000.0;5.0;925.0;163.0;3.0;3.0;3.0;2020-03-18;-48.0212437159996;-15.8420951119996;18.404907975460123
noroeste;12500.0;2.0;1650.0;260.0;4.0;3.0;3.0;2020-04-13;-47.9107855909996;-15.741443107999599;48.07692307692308
lago norte;3500.0;18.0;;150.0;3.0;3.0;3.0;2020-04-13;-47.8701841109996;-15.7368455579996;23.333333333333332
samambaia norte;1500.0;4.0;;150.0;2.0;2.0;2.0;2020-04-13;-48.0775303269996;-15.864103852999596;10.0
riacho fundo ii;1100.0;161.0;;100.0;1.0;3.0;2.0;2020-04-13;-48.0561196639996;-15.8672341249996;11.0
setor oeste;1200.0;7.0;;165.0;2.0;3.0;2.0;2020-04-13;-47.82432715899961;-15.6414935609996;7.2727272727272725
taguatinga norte;1200.0;16.0;;70.0;1.0;2.0;2.0;2020-04-13;-47.8114992209996;-15.645707819999599;17.142857142857142
aguas sul;3700.0;4.0;703.0;106.0;4.0;3.0;2.0;2020-04-13;-48.038945512999604;-15.837913230999598;34.905660377358494
samambaia sul;1300.0;11.0;;90.0;1.0;3.0;2.0;2020-04-13;-47.99623010399961;-15.9989154819996;14.444444444444445
grande colorado;2750.0;18.0;285.0;220.0;4.0;3.0;2.0;2020-04-13;-47.8503815359996;-15.6675970869996;12.5
sobradinho;2200.0;7.0;;120.0;2.0;3.0;2.0;2020-04-13;-47.79781313899961;-15.6601021149996;18.333333333333332
park sul;4000.0;4.0;932.0;73.0;2.0;2.0;2.0;2020-03-23;-47.959307372999604;-15.8317708619996;54.794520547945204
centro;4000.0;0.0;;170.0;1.0;2.0;2.0;2020-03-23;-47.7829148879996;-15.771316052999596;23.529411764705884
riacho fundo ii;1100.0;140.0;;100.0;1.0;3.0;2.0;2020-03-23;-48.0561196639996;-15.8672341249996;11.0
