date;interest;mortgage
2011-09-01;0.0041;0.0092
2011-10-01;0.0045000000000000005;0.0102
2011-11-01;0.0034;0.0087
2011-12-01;0.0041;0.0086
2012-01-01;0.0032999999999999987;0.007999999999999998
2012-02-01;0.0029999999999999988;0.0089
2012-03-01;0.0061;0.011
2012-04-01;0.0007000000000000001;0.005999999999999999
2012-05-01;0.0038;0.007399999999999999
2012-06-01;0.0056;0.0089
2012-07-01;0.0025000000000000005;0.0052
2012-08-01;0.0028000000000000004;0.0058000000000000005
2012-09-01;0.001;0.0047
2012-10-01;0.0002000000000000005;0.004600000000000001
2012-11-01;0.001;0.0046
2012-12-01;0.001;0.0023
2013-01-01;0.001;0.0014999999999999994
2013-02-01;0.001;0.004
2013-03-01;0.0008000000000000012;0.005000000000000001
2013-04-01;0.0005999999999999997;0.0042
2013-05-01;0.0023;0.0058
2013-06-01;0.0035000000000000005;0.0068000000000000005
2013-07-01;0.0069;0.0094
2013-08-01;0.004700000000000001;0.007300000000000002
2013-09-01;0.0036000000000000008;0.006400000000000001
2013-10-01;0.002400000000000002;0.0044
2013-11-01;0.0017999999999999995;0.005599999999999999
2013-12-01;0.001;0.0017
2014-01-01;0.003;0.006299999999999999
2014-02-01;0.0010000000000000009;0.004399999999999999
2014-03-01;0.001;0.0037
2014-04-01;0.0014999999999999987;0.0055000000000000005
2014-05-01;0.0041;0.006500000000000001
2014-06-01;0.004199999999999999;0.0068000000000000005
2014-07-01;0.0094;0.011
2014-08-01;0.006199999999999999;0.0084
2014-09-01;0.003400000000000001;0.004900000000000001
2014-10-01;0.0053;0.006300000000000001
2014-11-01;0.0032999999999999987;0.0054
2014-12-01;0.0017999999999999984;0.0017999999999999984
2015-01-01;0.001;0.001
2015-02-01;0.001;0.001
2015-03-01;0.001;0.001
2015-04-01;0.0024;0.003200000000000001
2015-05-01;0.0025000000000000005;0.0037
2015-06-01;0.0027999999999999987;0.003599999999999999
2015-07-01;0.0056;0.005399999999999999
2015-08-01;0.0089;0.0092
2015-09-01;0.0057;0.0063
2015-10-01;0.002900000000000001;0.0035000000000000014
2015-11-01;0.0005000000000000004;0.0017
2015-12-01;0.002;0.0015000000000000011
2016-01-01;0.001;0.001
2016-02-01;0.0009999999999999992;0.0024999999999999988
2016-03-01;0.007299999999999998;0.007600000000000002
2016-04-01;0.0045000000000000005;0.005600000000000001
2016-05-01;0.0033;0.0045
2016-06-01;0.0081;0.0088
2016-07-01;0.005900000000000001;0.0072
2016-08-01;0.0078;0.0078
2016-09-01;0.0103;0.0114
2016-10-01;0.0079;0.0091
2016-11-01;0.0086;0.0104
2016-12-01;0.008200000000000002;0.009000000000000001
2017-01-01;0.0071;0.0082
2017-02-01;0.005399999999999999;0.0085
2017-03-01;0.008;0.0089
2017-04-01;0.006500000000000001;0.0094
2017-05-01;0.006199999999999999;0.0084
2017-06-01;0.0104;0.0127
2017-07-01;0.005600000000000001;0.007800000000000001
2017-08-01;0.0061;0.007399999999999999
2017-09-01;0.0048;0.007899999999999999
2017-10-01;0.0022000000000000006;0.005200000000000001
2017-11-01;0.002899999999999999;0.006699999999999999
2017-12-01;0.001;0.004299999999999999
2018-01-01;0.0029;0.0061
