;AP;num_employees;num_firms
88;1501402999036;1562.0;183
89;1501402999037;71.0;32
90;1501402999038;603.0;44
91;1501501001001;475.0;77
92;1504422001001;2056.0;165
93;2301000001005;1674.0;83
94;2301000001099;469.0;28
95;2303709001001;3478.5;355
96;2303709001002;1197.0;153
97;2303709001003;686.0;99
98;2303709001004;1653.0;132
99;2303709005001;139.0;44
100;2303709005002;165.0;50
101;2303709005003;357.0;55
102;2303709005004;176.0;28
103;2303709005005;898.0;70
104;2303709501001;28.0;2
105;2304285001001;2675.0;261
106;2304400999001;1987.0;311
107;2304400999002;7871.0;414
108;2304400999003;1549.0;225
109;2304400999004;1567.0;83
110;2304400999005;2849.0;132
111;2304400999006;2298.0;175
112;2304400999007;678.0;135
113;2304400999008;2044.0;139
114;2304400999009;5580.5;628
115;2304400999010;3130.0;581
116;2304400999011;3463.0;339
117;2304400999012;2092.0;256
118;2304400999013;2925.0;481
119;2304400999014;8407.0;772
120;2304400999015;9430.5;1291
121;2304400999016;3463.0;343
122;2304400999017;35306.0;4876
123;2304400999018;13554.0;1526
124;2304400999019;22902.0;3360
125;2304400999020;5664.0;863
126;2304400999021;4003.0;460
127;2304400999022;12511.0;1567
128;2304400999023;7226.0;689
129;2304400999024;2230.0;135
130;2304400999025;1297.5;221
131;2304400999026;4439.0;714
132;2304400999027;2152.0;194
133;2304400999028;1273.0;215
134;2304400999029;4099.0;303
135;2304400999030;1461.0;144
136;2304400999031;1183.0;171
137;2304400999032;994.0;93
138;2304400999033;543.0;70
139;2304400999034;468.0;82
140;2304400999035;7355.5;482
141;2304400999036;5271.0;523
142;2304400999037;650.0;114
143;2304400999038;2660.0;411
144;2304400999039;1467.0;319
145;2304400999040;1299.0;250
146;2304400999041;501.0;89
147;2304400999042;1055.0;77
148;2304400999043;1623.5;188
149;2304400999044;3355.0;398
150;2304400999045;930.0;194
151;2304400999046;1437.0;109
152;2304400999047;2525.5;192
153;2304400999048;492.0;48
154;2304400999049;2643.0;215
155;2304400999050;7590.5;582
156;2304400999051;1583.0;312
157;2304400999052;1992.0;148
158;2304400999053;790.0;130
159;2304400999054;1470.0;245
160;2304400999055;1394.0;253
161;2304400999056;396.0;92
162;2304400999057;5030.0;381
163;2304400999058;384.0;114
164;2304400999059;424.0;87
165;2304400999060;1127.0;163
166;2304400999061;1055.0;178
167;2304400999062;6156.5;382
168;2304400999063;1649.0;141
169;2304400999064;2402.0;190
170;2304400999065;8303.5;814
171;2304400999066;3331.0;361
172;2304400999067;1202.0;143
173;2304400999068;852.0;106
174;2304400999069;3227.5;239
175;2304400999070;5311.0;269
176;2304400999071;1097.0;190
177;2306256001001;658.0;37
178;2307650999001;6791.0;368
179;2307650999002;1110.0;83
180;2307650999003;1666.0;123
181;2307650999004;7326.0;154
182;2307650999005;5935.0;232
183;2307700001005;8566.0;310
184;2309706001001;1981.0;72
185;2600054001001;2108.0;198
186;2600054001002;263.0;47
187;2600054001003;228.0;41
188;2600054001004;247.0;26
189;2600054001005;609.0;71
190;2602902001005;5010.0;485
191;2602902001099;4436.0;176
192;2603454001001;974.0;93
193;2603454001002;1463.5;244
194;2603454001003;804.0;151
195;2603454001004;269.0;28
196;2603454001005;82.0;18
197;2603454001006;813.0;115
198;2606804001001;5972.0;119
199;2606804001002;173.0;55
200;2606804001003;382.0;50
201;2606804001004;874.0;22
202;2607604001001;329.0;68
203;2607752001001;1665.0;50
204;2607901001001;1966.0;83
205;2607901001002;5622.0;211
206;2607901001003;1385.0;291
207;2607901001004;2894.5;441
208;2607901001005;1462.0;151
209;2607901001006;1029.0;92
210;2607901001007;649.0;144
211;2607901001008;2939.0;315
212;2607901001009;2363.0;137
213;2607901001010;978.0;176
214;2607901001011;835.0;104
215;2607901001012;251.0;69
216;2607901001013;281.0;26
217;2607901001014;50.0;13
218;2607901001015;2057.0;222
219;2607901001016;2190.0;337
220;2607901002001;280.0;36
221;2607901002002;465.0;83
222;2607901002003;761.0;101
223;2607901002004;134.0;30
224;2607901002005;931.0;88
225;2607901002006;530.0;97
226;2607901003001;1358.0;137
227;2607901003002;102.0;18
228;2607901003003;1417.0;183
229;2607901003004;1458.0;94
230;2609402001001;747.0;88
231;2609600999001;629.0;127
232;2609600999002;1794.0;197
