cod_mun;num_est
2700904;3
2703403;5
2703700;6
2704401;23
2705408;6
2705705;54
2706000;6
2701803;5
2702504;6
2704609;7
2706109;8
2706208;2
2706406;47
2707206;4
2708006;131
2708402;12
2708956;5
2700102;22
2701605;9
2703304;9
2705002;22
2706422;4
2900405;23
2901106;108
2901502;18
2901700;19
2908200;85
2908903;78
2910305;18
2910800;5851
2913804;11
2914000;190
2914505;80
2916856;34
2923308;15
2924108;13
2924652;17
2925956;53
2927507;41
2928505;19
2928307;12
2928802;141
2929305;137
2930402;35
2931103;33
2931400;39
2901155;11
2903003;16
2903235;10
2905305;7
2906204;15
2907608;17
2911303;6
2912400;11
2913101;16
2914406;22
2914604;580
2918357;27
2918506;8
2919157;25
2922052;6
2925600;14
2929255;18
2930808;4
2932408;11
2902609;38
2903805;46
2911907;93
2912608;12
2914703;400
2919009;10
2919603;12
2920106;61
2922102;58
2927200;119
2931301;17
2933059;20
2905107;12
2905503;12
2906873;120
2917508;644
2921203;107
2921401;12
2921708;75
2923357;38
2924801;47
2925253;10
2925931;6
2929370;15
2929800;32
2930600;21
2933109;21
2933158;17
2901353;24
2901809;17
2906006;219
2910859;26
2917003;61
2917706;119
2924603;20
2930105;576
2932457;3
2904100;52
2904209;21
2904506;20
2907558;5
2912509;19
2913002;15
2914109;24
2919801;95
2923035;6
2923209;31
2931053;25
2902005;23
2904605;617
2906899;17
2908705;31
2909000;5
2911659;2
2917201;34
2919959;7
2920304;20
2924702;9
2925709;11
2926806;19
2931004;69
2931806;25
2905008;122
2905206;246
2906600;25
2911709;666
2912004;38
2913408;25
2917334;27
2917409;12
2918753;12
2919405;43
2920205;27
2921054;4
2921807;17
2923407;54
2924504;17
2926400;57
2930006;16
2932606;53
2910404;111
2915809;161
2916401;777
2916807;135
2917102;178
2919702;122
2920007;64
2925402;65
2926657;60
2900603;22
2901007;231
2901957;15
2904308;67
2909505;14
2914208;11
2914307;29
2915106;59
2916708;25
2916906;39
2917607;236
2918001;1455
2918209;31
2918308;78
2918704;22
2918803;62
2919058;12
2920502;84
2920809;25
2921302;44
2922409;99
2922805;11
2924900;9
2927903;28
2929404;21
2932101;83
