cod_mun;2000;2010
1100015;0.4651;0.5727
1100023;0.7398;0.847
1100031;0.3554;0.4266
1100049;0.6986;0.7881
1100056;0.8154;0.8467
1100064;0.6658;0.7346
1100072;0.1982;0.2949
1100080;0.662;0.5481
1100098;0.5552;0.7174
1100106;0.8683;0.8452
1100114;0.5518;0.6753
1100122;0.8522;0.8992
1100130;0.4829;0.5194
1100148;0.3764;0.4217
1100155;0.6492;0.743
1100189;0.8322;0.8698
1100205;0.8179;0.9118
1100254;0.4617;0.596
1100262;0.2952;0.3209
1100288;0.7265;0.818
1100296;0.4212;0.5092
1100304;0.9441;0.9477
1100320;0.2713;0.388
1100338;0.4904;0.5796
1100346;0.4309;0.5236
1100379;0.1927;0.2853
1100403;0.3077;0.4787
1100452;0.5974;0.5596
1100502;0.1095;0.1692
1100601;0.3444;0.3607
1100700;0.2617;0.2662
1100809;0.7137;0.6515
1100908;0.1838;0.2338
1100924;0.3539;0.4413
1100940;0.489;0.6965
1101005;0.1142;0.2246
1101104;0.539;0.6096
1101203;0.1904;0.2969
1101302;0.4358;0.5425
1101401;0.4532;0.5244
1101435;0.1614;0.2057
1101450;0.3131;0.3688
1101468;0.5532;0.5581
1101476;0.2688;0.3644
1101484;0.1461;0.2399
1101492;0.4714;0.5131
1101500;0.3254;0.3781
1101559;0.2054;0.3511
1101609;0.136;0.1857
1101708;0.269;0.3959
1101757;0.2373;0.3402
1101807;0.1866;0.2772
1200013;0.4418;0.4718
1200054;0.6163;0.6094
1200104;0.5305;0.6663
1200138;0.2794;0.436
1200179;0.2922;0.4466
1200203;0.5779;0.7047
1200252;0.6714;0.7032
1200302;0.4206;0.5133
1200328;0.1938;0.3454
1200336;0.5222;0.5754
1200344;0.5147;0.6613
1200351;0.1187;0.279
1200385;0.46;0.6033
1200393;0.2627;0.3621
1200401;0.8943;0.9182
1200427;0.3252;0.2999
1200435;0.2306;0.4033
1200450;0.4372;0.6295
1200500;0.5491;0.6603
1200609;0.5356;0.5437
1200708;0.5014;0.642
1200807;0.1132;0.1332
1300029;0.4374;0.5598
1300060;0.5378;0.5239
1300086;0.3145;0.4087
1300102;0.6386;0.6129
1300144;0.4419;0.5884
1300201;0.4155;0.4549
1300300;0.4169;0.4323
1300409;0.3287;0.4338
1300508;0.4096;0.454
1300607;0.6103;0.6027
1300631;0.4493;0.5023
1300680;0.4786;0.504
1300706;0.5421;0.6316
1300805;0.393;0.4129
1300839;0.3539;0.4683
1300904;0.5066;0.5246
1301001;0.7205;0.766
1301100;0.2133;0.2883
1301159;0.0467;0.0418
1301209;0.5888;0.6536
1301308;0.6448;0.6811
1301407;0.6436;0.7228
1301506;0.3539;0.6459
1301605;0.3692;0.6624
1301654;0.4705;0.5315
1301704;0.7315;0.6896
1301803;0.3906;0.4268
1301852;0.3077;0.7106
1301902;0.6444;0.6697
1301951;0.3691;0.5564
1302009;0.7244;0.7857
1302108;0.222;0.4502
1302207;0.4635;0.5264
1302306;0.3433;0.5865
1302405;0.6657;0.6421
1302504;0.6467;0.7068
1302553;0.3277;0.3097
1302603;0.9936;0.9949
1302702;0.4033;0.4328
1302801;0.2647;0.4994
1302900;0.529;0.4945
1303007;0.4108;0.3835
1303106;0.4325;0.4439
1303205;0.7237;0.6452
1303304;0.5289;0.6561
1303403;0.6448;0.685
1303502;0.4078;0.51
1303536;0.4833;0.4784
1303569;0.3545;0.4746
1303601;0.3996;0.3778
1303700;0.2802;0.5289
1303809;0.4132;0.5028
1303908;0.3794;0.4539
1303957;0.6588;0.5515
1304005;0.432;0.4771
1304062;0.7025;0.6955
1304104;0.4571;0.5566
1304203;0.74;0.8148
1304237;0.2812;0.521
1304260;0.3464;0.5714
1304302;0.4408;0.5783
1304401;0.5511;0.5857
1400027;0.1509;0.1307
1400050;0.2901;0.2906
1400100;0.9827;0.9771
1400159;0.3217;0.3391
1400175;0.1348;0.1624
1400209;0.5765;0.593
1400233;0.3473;0.4097
1400282;0.6752;0.469
1400308;0.625;0.604
1400407;0.2444;0.2585
1400456;0.3948;0.4327
1400472;0.4131;0.4396
1400506;0.7625;0.7025
1400605;0.649;0.66
1400704;0.0905;0.1359
1500107;0.5946;0.5882
1500131;0.8221;0.89
1500206;0.187;0.2356
1500305;0.2299;0.2705
1500347;0.128;0.1946
1500404;0.6021;0.5268
1500503;0.5571;0.5939
1500602;0.8043;0.8488
1500701;0.2518;0.3835
1500800;0.9976;0.9975
1500859;0.3277;0.4787
1500909;0.4046;0.4504
1500958;0.2546;0.3077
1501006;0.192;0.2006
1501105;0.3206;0.4467
1501204;0.5145;0.5031
1501253;0.3146;0.3737
