;AP;num_employees_clt;num_firms
196;2303709005001;864;317
197;2303709005002;816;268
198;2303709005003;1442;265
199;2303709005004;678;242
200;2303709005005;2326;432
201;2303709501001;128;39
202;2304202001005;13967;3243
203;2304202001099;4;6
204;2304285001001;31412;2642
205;2304400999001;6476;1515
206;2304400999002;11323;1400
207;2304400999003;3072;797
208;2304400999004;2341;328
209;2304400999005;1919;491
210;2304400999006;3230;604
211;2304400999007;3375;410
212;2304400999008;3658;545
213;2304400999009;9032;1419
214;2304400999010;5999;1719
215;2304400999011;5323;1123
216;2304400999012;4863;881
217;2304400999013;5472;1230
218;2304400999014;24405;1961
219;2304400999015;17200;3001
220;2304400999016;14022;1443
221;2304400999017;68251;10909
222;2304400999018;27181;3768
223;2304400999019;51604;8235
224;2304400999020;19133;2207
225;2304400999021;10459;1229
226;2304400999022;41812;3986
227;2304400999023;13401;1671
228;2304400999024;4685;416
229;2304400999025;6298;729
230;2304400999026;8773;1746
231;2304400999027;3988;782
232;2304400999028;4753;802
233;2304400999029;5610;1133
234;2304400999030;2773;590
235;2304400999031;2706;722
236;2304400999032;1260;414
237;2304400999033;1479;398
238;2304400999034;1398;422
239;2304400999035;43728;1533
240;2304400999036;17691;2187
241;2304400999037;3713;594
242;2304400999038;12217;1491
243;2304400999039;6663;1069
244;2304400999040;7150;901
245;2304400999041;1649;507
246;2304400999042;3256;407
247;2304400999043;8406;991
248;2304400999044;9928;1827
249;2304400999045;4233;1090
250;2304400999046;6400;517
251;2304400999047;7891;950
252;2304400999048;1575;331
253;2304400999049;5075;959
254;2304400999050;17782;2414
255;2304400999051;2775;930
256;2304400999052;3727;739
257;2304400999053;1360;579
258;2304400999054;5010;980
259;2304400999055;7697;1559
260;2304400999056;1430;508
261;2304400999057;11160;1478
262;2304400999058;2165;534
263;2304400999059;1040;433
264;2304400999060;2481;801
265;2304400999061;1923;596
266;2304400999062;5220;701
267;2304400999063;2926;492
268;2304400999064;2566;638
269;2304400999065;21928;2554
270;2304400999066;20118;1483
271;2304400999067;14931;589
272;2304400999068;4826;502
273;2304400999069;7254;882
274;2304400999070;15188;914
275;2304400999071;2940;765
276;2306256001001;3733;582
277;2307304999001;5217;1124
278;2307304999002;2846;400
279;2307304999003;7404;718
280;2307304999004;2976;571
281;2307304999005;7284;2147
282;2307304999006;2046;735
283;2307304999007;3748;915
284;2307304999008;1326;226
285;2307304999009;2020;514
286;2307304999010;3064;680
287;2307650999001;4934;867
288;2307650999002;7771;1171
289;2307650999003;8315;1017
290;2307650999004;20599;859
291;2307650999005;3841;961
292;2307700001005;9965;1756
293;2307700001099;0;1
294;2309706001001;5595;729
295;2403251001001;4486;887
296;2403251001002;3609;668
297;2403251001003;10560;1288
298;2403251001004;5506;1309
299;2403251001005;6311;1473
300;2403608001001;891;333
301;2407104001001;7376;1232
302;2407104001002;2174;147
303;2408102999001;6032;1350
304;2408102999002;2944;513
305;2408102999003;14772;829
306;2408102999004;1674;574
307;2408102999005;3089;884
308;2408102999006;36184;5408
309;2408102999007;13466;2211
310;2408102999008;7647;1611
311;2408102999009;3053;949
312;2408102999010;4562;951
313;2408102999011;23164;2472
314;2408102999012;14544;2402
315;2408102999013;2064;577
316;2408102999014;31048;4613
317;2408102999015;24298;4570
318;2408102999016;4160;639
319;2408102999017;2626;646
320;2408102999018;2834;612
321;2408102999019;3141;398
322;2408102999020;9879;1254
323;2408102999021;9079;1083
324;2408201001001;1021;443
325;2412005001005;699;149
326;2412005001099;6956;994
327;2412203001001;2812;653
328;2501807001001;1184;176
329;2501807001002;2399;371
330;2501807001003;1494;604
331;2501807001004;1156;423
332;2503209001001;14949;1945
333;2504009999001;19899;4114
334;2504009999002;5779;1017
335;2504009999003;830;238
336;2504009999004;3217;386
337;2504009999005;2538;486
338;2504009999006;4356;1224
339;2504009999007;5181;827
340;2504009999008;10318;806
341;2504009999009;1917;426
342;2504009999010;5915;469
343;2504009999011;2306;229
344;2504009999012;1335;356
345;2504009999013;2290;402
346;2504009999014;4413;317
347;2504009999015;1139;302
348;2504009999016;720;400
349;2504009999017;6670;88
350;2504900001001;499;106
351;2507507999001;9047;1744
352;2507507999002;417;147
353;2507507999003;2161;613
354;2507507999004;31555;5247
355;2507507999005;2786;618
356;2507507999006;2296;493
357;2507507999007;1690;401
358;2507507999008;2301;396
359;2507507999009;8834;1656
360;2507507999010;476;276
361;2507507999011;2522;409
362;2507507999012;3767;646
363;2507507999013;6197;721
364;2507507999014;5761;807
365;2507507999015;14729;582
366;2507507999016;12752;2138
367;2507507999017;906;251
368;2507507999018;4954;1576
369;2507507999019;3800;327
370;2507507999020;966;340
371;2507507999021;7150;1257
372;2507507999022;7855;895
373;2507507999023;10012;1757
374;2507507999024;17476;2336
375;2507507999025;631;357
376;2507507999026;881;300
377;2508307001001;601;333
378;2512507001001;461;259
379;2512507001002;1726;364
380;2513703001001;730;410
381;2513703001002;807;251
382;2513703001003;839;183
383;2513703001004;3283;710
384;2513703001005;12450;344
385;2600054001001;5191;497
386;2600054001002;874;264
387;2600054001003;506;179
388;2600054001004;925;170
389;2600054001005;2131;219
390;2602902001005;17543;2308
391;2602902001099;15955;1208
392;2603454001001;1241;265
393;2603454001002;2650;637
394;2603454001003;1987;464
395;2603454001004;352;161
396;2603454001005;197;72
397;2603454001006;1461;415
398;2605202001001;7091;914
399;2606804001001;12461;609
400;2606804001002;2396;386
401;2606804001003;1430;300
402;2606804001004;446;157
403;2607604001001;710;311
404;2607752001001;3825;232
405;2607901001001;2038;258
406;2607901001002;15721;684
407;2607901001003;4450;772
408;2607901001004;4883;1176
409;2607901001005;2652;456
410;2607901001006;2194;260
411;2607901001007;1351;381
412;2607901001008;13730;967
413;2607901001009;5391;500
414;2607901001010;2814;598
415;2607901001011;1189;422
416;2607901001012;1222;290
417;2607901001013;1213;107
418;2607901001014;623;79
419;2607901001015;11872;865
420;2607901001016;10383;1004
421;2607901002001;359;149
422;2607901002002;1901;356
423;2607901002003;2217;318
424;2607901002004;492;157
425;2607901002005;683;227
426;2607901002006;1630;348
427;2607901003001;6347;472
428;2607901003002;106;77
429;2607901003003;2357;473
430;2607901003004;2591;455
431;2609402001001;4005;944
432;2609600999001;1008;351
433;2609600999002;4877;580
434;2609600999003;15660;883
435;2609600999004;1621;316
436;2609600999005;1187;382
437;2609600999006;18617;630
438;2609600999007;21729;3126
