date;interest
2010-01-01;0.013931
2010-02-01;0.013931
2010-03-01;0.013931
2010-04-01;0.013931
2010-05-01;0.013931
2010-06-01;0.013931
2010-07-01;0.013931
2010-08-01;0.013931
2010-09-01;0.013931
2010-10-01;0.013931
2010-11-01;0.013931
2010-12-01;0.013931
2011-01-01;0.013931
2011-03-01;0.013931381713643942
2011-04-01;0.01409584346105519
2011-05-01;0.014906699547906133
2011-06-01;0.01470110421216253
2011-07-01;0.014963334968509434
2011-08-01;0.01486420015632084
2011-09-01;0.014516386976881845
2011-10-01;0.014473707335798336
2011-11-01;0.013938538329072214
2011-12-01;0.013615939217286988
2012-01-01;0.013623120368759789
2012-02-01;0.013414639411353901
2012-03-01;0.01310464145235879
2012-04-01;0.012423315394553658
2012-05-01;0.011037954513274384
2012-06-01;0.009743814928232508
2012-07-01;0.009533848336912731
2012-08-01;0.00986358055321146
2012-09-01;0.010422908867375291
2012-10-01;0.010452644242643139
2012-11-01;0.010564066253587301
2012-12-01;0.01020703902530995
2013-01-01;0.010147399323979567
2013-02-01;0.00999066056896969
2013-03-01;0.009698862503578987
2013-04-01;0.009668881985648747
2013-05-01;0.009481281549864162
2013-06-01;0.009436200325992683
2013-07-01;0.009743814928232508
2013-08-01;0.009743814928232508
2013-09-01;0.00991592892267823
2013-10-01;0.010117564942367263
2013-11-01;0.010978851950173452
2013-12-01;0.01091231610469423
2014-01-01;0.011832142466318807
2014-02-01;0.011332898642245848
2014-03-01;0.012938399301253733
2014-04-01;0.012219388579662205
2014-05-01;0.011119158533197337
2014-06-01;0.010779099721309526
2014-07-01;0.011133915196060995
2014-08-01;0.010897523817270605
2014-09-01;0.010623436115692053
2014-10-01;0.01048236999551988
2014-11-01;0.01048236999551988
2014-12-01;0.00960138999471205
2015-01-01;0.00984113639700368
2015-02-01;0.01020703902530995
2015-03-01;0.01048236999551988
2015-04-01;0.010288980426733207
2015-05-01;0.01109701909604821
2015-06-01;0.011494715485939944
2015-07-01;0.011619561026674274
2015-08-01;0.011413842661733176
2015-09-01;0.011692920487179403
2015-10-01;0.011700253215942702
2015-11-01;0.011802850082948346
2015-12-01;0.011133915196060995
2016-01-01;0.011817497440664182
2016-02-01;0.011531452360343364
2016-03-01;0.011934592413342715
2016-04-01;0.011707585360134942
2016-05-01;0.012277699509359197
2016-06-01;0.01225583724047219
2016-07-01;0.012365096685221344
2016-08-01;0.012248548663164938
2016-09-01;0.012175631121059682
2016-10-01;0.011656248071381992
2016-11-01;0.012161040676234691
2016-12-01;0.01200039289517818
2017-01-01;0.011985774632534696
2017-02-01;0.011758894009666454
2017-03-01;0.01135498135209656
2017-04-01;0.010786505700144389
2017-05-01;0.011509411996942998
2017-06-01;0.010430343613647475
2017-07-01;0.010221942900875636
2017-08-01;0.009323400277881477
2017-09-01;0.00954135542061807
2017-10-01;0.009443715401397546
2017-11-01;0.009511323400684946
2017-12-01;0.008742166593403766
2018-01-01;0.0089841656597891
2018-02-01;0.00878759008506047
2018-03-01;0.008567834467890334
2018-04-01;0.00855265947692252
2018-05-01;0.008279079239855047
2018-06-01;0.008019945985025423
2018-07-01;0.00792831196427568
2018-08-01;0.007767731587194904
2018-09-01;0.007637531485776172
2018-10-01;0.007553185642589888
2018-11-01;0.007599202093946822
2018-12-01;0.007614535775340103
2019-01-01;0.007422680009444571
2019-02-01;0.00756085665671935
2019-03-01;0.007553185642589888
2019-04-01;0.007468762058028933
2019-05-01;0.007414997413246693
2019-06-01;0.0073612011869552685
2019-07-01;0.007345825030471209
2019-08-01;0.007107163850173404
2019-09-01;0.006976020535936822
2019-10-01;0.006836957827431656
2019-11-01;0.006581459470291984
2019-12-01;0.006410730059382752
2020-01-01;0.0064029620570458246
2020-02-01;0.006379654092005582
2020-03-01;0.006472850346757042
2020-04-01;0.006356340187460896
2020-05-01;0.006387424073474257
2020-06-01;0.006356340187460896
2020-07-01;0.006247463339722259
2020-08-01;0.006115081286028445
2020-09-01;0.006130665593282458
2020-10-01;0.006185189767963228
2020-11-01;0.006263025110887721
