cod_mun;prop_urb
1701309;0,385598706
1701903;0,560029553
1702000;0,669484271
1702109;0,935753869
1702158;0,622227522
1702208;0,606997309
1702307;0,783345196
1702406;0,558630736
1702554;0,78887689
1702703;0,632054176
1702901;0,856463125
1703008;0,41001065
1703057;0,461273006
1703073;0,390611903
1703107;0,824085006
1703206;0,438145463
1703305;0,486439948
1703602;0,630265211
1703701;0,784703711
1703800;0,779903086
1703826;0,872466634
1703842;0,391805605
1703867;0,649498328
1703883;0,771912351
1703891;0,488812927
1703909;0,724043716
1704105;0,351826167
1704600;0,432283465
1705102;0,379047037
1705508;0,953084858
1705557;0,826702034
1705607;0,533470414
1706001;0,423298731
1706100;0,917327139
1706258;0,560693642
1706506;0,555113503
1707009;0,806779881
1707108;0,690270083
1707207;0,328518366
1707306;0,649288061
1707405;0,465958284
1707553;0,856288981
1707652;0,776339446
1707702;0,491968849
1708205;0,70457565
1708254;0,71632471
1708304;0,466418682
1709005;0,384287785
1709302;0,878559297
1709500;0,976197066
1709807;0,502572899
1710508;0,532208364
1710706;0,512057626
1710904;0,354592615
1711100;0,615384615
1711506;0,319448895
1711803;0,4894985
1711902;0,550583658
1711951;0,644664032
1712009;0,675341297
1712157;0,520264682
1712405;0,382360708
1712454;0,656605641
1712504;0,590636255
1712702;0,388821385
1712801;0,553258584
1713205;0,835992473
1713304;0,906795458
1713601;0,447910649
1713700;0,203852327
1713809;0,540242319
1713957;0,643656716
1714203;0,721664599
1714302;0,388932039
1714880;0,652956846
1715002;0,763322884
1715101;0,6437684
1715150;0,794195251
1715259;0,638307764
1715507;0,728601253
1715705;0,36066482
1715754;0,784663271
1716109;0,95153612
1716208;0,271985407
1716307;0,635986159
1716505;0,811696943
1716604;0,419034577
1716653;0,499455456
1716703;0,679854577
1717008;0,496051227
1717206;0,499576271
1717503;0,576534296
1717800;0,538696983
1717909;0,530784187
1718006;0,575846218
1718204;0,861638994
1718303;0,512461289
1718402;0,829741953
1718451;0,787330317
1718501;0,400254939
1718550;0,426975477
1718659;0,839360807
1718709;0,506831203
1718758;0,307275415
1718808;0,81720814
1718840;0,424669868
1718865;0,611585255
1718881;0,464510332
1718899;0,39362851
1718907;0,537998146
1719004;0,633869442
1720002;0,56496945
1720101;0,522204387
1720150;0,418439716
1720200;0,225076597
1720259;0,395620438
1720309;0,766148814
1720499;0,44281757
1720655;0,708783069
1720804;0,501264755
1720853;0,585365854
1720903;0,619637026
1720937;0,643899591
1720978;0,424978317
1721000;0,976877434
1721109;0,514858328
1721208;0,828818545
1721257;0,36726039
1721307;0,534065934
1722081;0,513287258
1722107;0,797313999
2100055;0,726494565
2100105;0,481837607
2100154;0,283108317
2100204;0,266074867
2100303;0,391724651
2100402;0,326452341
2100436;0,644628509
2100477;0,26208702
2100501;0,59347356
2100550;0,732645922
2100600;0,345711364
2100709;0,260771172
2100808;0,447568093
2100832;0,500315344
2100873;0,427381344
2100907;0,261674211
2100956;0,384043159
2101004;0,586095729
2101103;0,118517058
2101202;0,777670083
2101251;0,179916318
2101301;0,492498873
2101350;0,243845001
2101400;0,833469076
2101509;0,51384455
2101608;0,555517166
2101707;0,332980413
2101731;0,348181991
2101772;0,34989899
2101806;0,422087746
2101905;0,261319797
2101939;0,295094484
2101970;0,819812793
2102002;0,351743343
2102036;0,481535207
2102077;0,167244668
2102101;0,387307818
2102150;0,198118641
2102200;0,29822598
2102309;0,694115453
2102325;0,509547778
2102358;0,273766459
2102374;0,386292835
2102408;0,296508002
2102507;0,27997016
2102556;0,745681798
2102606;0,552698298
2102705;0,481341388
2102754;0,381675045
2102804;0,598641157
2102903;0,704521048
2103000;0,740469103
2103109;0,201776779
2103125;0,460339549
2103158;0,552828349
2103174;0,214855023
2103208;0,607139363
2103257;0,391249154
2103307;0,675624854
2103406;0,823115554
2103505;0,581543446
2103554;0,487469835
2103604;0,600240678
2103703;0,636145435
2103752;0,833482688
2103802;0,639324103
2103901;0,443323064
2104008;0,462825104
2104057;0,691059747
2104073;0,136550444
2104081;0,151565416
2104099;0,158841884
2104107;0,524289886
2104206;0,625376816
2104305;0,620674864
2104404;0,448302561
2104503;0,643736264
2104552;0,355063814
2104602;0,290177046
2104628;0,665284815
2104651;0,226872247
2104677;0,544037653
2104701;0,493092105
2104800;0,562209734
2104909;0,416027213
2105005;0,293426126
2105104;0,291870259
2105153;0,397480187
2105203;0,619325751
2105302;0,94841824
2105351;0,084326512
2105401;0,646708127
2105427;0,75237807
2105450;0,407715134
2105476;0,215139836
2105500;0,622286365
2105609;0,302347868
2105658;0,469004157
2105708;0,595173865
2105807;0,28882335
2105906;0,361481822
2105922;0,28530595
2105948;0,530617079
2105963;0,337938363
2105989;0,345985657
2106003;0,570099544
2106102;0,482841181
2106201;0,819881202
2106300;0,482221028
2106326;0,853692991
2106359;0,101242843
2106375;0,605565423
2106409;0,443681668
2106508;0,359055691
2106607;0,358604774
2106631;0,292400807
2106672;0,271703243
2106706;0,351250879
2106755;0,84419773
2106805;0,600692042
2106904;0,345659102
2107001;0,46631874
2107100;0,3389064
2107209;0,405718422
2107258;0,419313525
2107308;0,57164869
2107357;0,600127714
2107407;0,587118314
2107456;0,337184044
2107506;0,015593007
2107605;0,185820204
2107704;0,718438445
2107803;0,339000277
2107902;0,473240197
2108009;0,592496766
2108058;0,296113136
2108108;0,447226542
2108207;0,796725921
2108256;0,163584716
2108306;0,416647414
2108405;0,241221024
2108454;0,376499769
2108504;0,76102046
2108603;0,561311186
2108702;0,455566114
2108801;0,565062153
2108900;0,440790062
2109007;0,749287411
2109056;0,398432602
2109106;0,695607091
2109205;0,253904423
2109239;0,660086005
2109270;0,236331827
2109304;0,357149671
2109403;0,341138034
2109452;0,665379213
2109502;0,461135205
2109551;0,422934649
2109601;0,646517154
2109700;0,436228854
2109759;0,347760874
2109809;0,489468568
2109908;0,922556754
2110005;0,306968284
2110039;0,532256456
2110104;0,408490231
2110203;0,387850092
2110237;0,12244152
2110278;0,288701623
2110302;0,374447485
2110401;0,557900499
2110500;0,526729313
2110609;0,385739437
2110658;0,648592781
2110708;0,483524464
2110807;0,249416796
2110856;0,542764089
2110906;0,249338727
2111003;0,187609029
2111029;0,233790293
2111052;0,369416305
2111078;0,299447216
2111102;0,811707359
2111201;0,253715637
2111250;0,365043057
2111300;0,962709246
2111409;0,33910065
2111508;0,745001291
2111532;0,865653885
