AREAP;num_employees_clt;num_firms
1300144001001;752;44
1300201001001;962;8
1300300001001;506;25
1300409001001;684;13
1300508001001;993;21
1300607001001;1303;29
1300631001001;16;4
1300680001001;457;14
1300706001001;1669;79
1300805001001;1616;28
1300839001001;747;4
1300904001001;21;7
1301001001001;981;20
1301100001001;1336;29
1301159001001;887;6
1301209003001;569;14
1301209003002;5607;125
1301308001001;1081;12
1301407001001;1446;48
1301506001001;746;13
1301605001001;875;6
1301654001001;737;15
1301704003001;1867;163
1301704003002;195;50
1301803001001;9734821094;6
1301852003001;3534;95
1301852003002;214;23
1301902003001;4;1
1301902003002;384;37
1301902003003;8252;319
1301951001001;386;5
1302009001001;905;11
1302108001001;409;9
1302207001001;459;7
1302306001001;35;4
1302405003001;1321;40
1302504003001;198;30
1302504003002;744;101
1302504003003;4163;155
1302553001001;413;9
1302603005001;13682;194
1302603005002;104229;538
1302603005003;4790;285
1302603005004;12369;365
1302603005005;5686;298
1302603005006;1777;159
1302603005007;6259;449
1302603005008;56772;1734
1302603005009;4253;162
1302603005010;9232355538;932
1302603005011;18473407488;2965
1302603005012;21780;868
1302603005013;10004;277
1302603005014;3982;185
1302603005015;18464683357;674
1302603005016;3172;204
1302603005017;9291880360;443
1302603005018;9209;285
1302603005019;7271;245
1302603005020;9842;208
1302603005021;18861;537
1302603005022;14362;713
1302603005023;343;55
1302603005024;3468;114
1302603005025;4004;48
1302603005026;9004;289
1302603005027;8008;340
1302603005028;26000;97
1302603005029;3874;216
1302603005030;9236376532;204
1302603005031;358;51
1302603005032;206;26
1302603005033;3980;227
1302702003001;152;21
1302702003002;862;16
1302801001001;457;7
1302900003001;2312;102
1303007001001;829;14
1303106001001;1012;21
1303205001001;575;26
1303304001001;747;16
1303403003001;488;92
1303403003002;6175;237
1303403003003;80;14
1303502001001;890;5
1303536001001;4640;118
1303569001001;2121;100
1303601001001;201;9
1303700001001;781;15
1303809001001;2133;97
1303908001001;233;9
1303957001001;417;12
1304005001001;559;13
1304062003001;1799;150
1304104001001;904;4
1304203003001;362;59
1304203003002;2738;151
1304237001001;182;7
1304260001001;71;8
1304302001001;785;18
1304401001001;625;8
1400027001001;435;11
1400050001001;642;26
1400100005001;905;92
1400100005002;107;31
1400100005003;794;149
1400100005004;268;45
1400100005005;28718787545;186
1400100005006;2487;214
1400100005007;644;85
1400100005008;477;34
1400100005009;2261;243
1400100005010;1955;115
1400100005011;5822;300
1400100005012;12747;570
1400100005013;9536268790;918
1400100005014;1929;167
1400159001001;801;23
1400175001001;328;38
1400209001001;1080;46
1400233001001;305;13
1400282001001;370;16
1400308001001;1078;63
1400407001001;474;14
1400456001001;157;55
1400472001001;1832;91
1400506001001;392;20
1400605001001;322;21
1400704001001;271;3
1500107003002;47;11
1500107003004;820;113
1500107003005;5698;346
1500131001001;559;35
1500206003001;581;3
1500206003002;3825;63
1500305001001;1766;26
1500347001001;1304;148
1500404003001;2783;80
1500404003002;214;9
1500503001001;7889;175
1500602003001;168;54
1500602003003;1745;109
1500602003004;2015;309
1500602003005;6258;605
1500701001001;878;17
1500800005001;14470;539
1500800005002;3260;109
1500800005003;5708;297
1500800005004;4238;391
1500800005005;6541;276
1500800005006;5464;308
1500800005007;1271;130
1500800005008;3495;187
1500800005009;7911;69
1500800005010;1175;77
1500800005011;541;63
1500800005012;545;54
1500800005013;1791;52
1500859001001;1025;83
1500909003001;115;30
1500958001001;1134;32
1501006001001;840;11
1501105001001;302;15
1501204001001;1669;39
1501253001001;452;59
1501303003002;7496;378
1501303003003;9841;169
1501402005001;9135307939;2648
1501402005002;33823;1631
1501402005003;10633;327
1501402005004;4168;233
1501402005005;208;26
1501402005006;5446;255
1501402005007;9132449257;194
1501402005008;2165;133
1501402005009;14612;380
1501402005010;4684;197
1501402005011;5693;435
1501402005012;6412;320
1501402005013;30692;554
1501402005014;9132478831;503
1501402005015;43438;1596
1501402005016;9132383555;1204
1501402005017;5462;366
1501402005018;3698;266
1501402005019;1274;98
1501402005020;1737;108
1501402005021;1251;112
1501402005022;7174;88
1501402005023;1079;33
1501402005024;1046;66
1501402005025;913;79
1501402005026;4012;129
1501402005027;2187;61
1501402005028;7571;177
1501402005029;9426;253
1501402005030;278;46
1501402005031;973;80
1501402005032;58913;309
1501402005033;935;43
1501402005034;1550;104
1501402005035;7200;313
1501402005036;3856;112
1501402005037;220;28
1501402005038;422;31
1501402005039;4901;147
1501402005040;1096;104
1501402005041;18264923916;286
1501402005042;1286;81
1501451001001;941;40
1501501002001;4231;239
1501501002002;2036;66
1501576001001;1824;140
1501600001001;875;15
1501709003001;329;61
1501709003002;687;28
1501709003003;3393;137
1501709003004;861;140
1501725001001;691;60
1501758001001;496;38
1501782003001;2284;167
1501782003002;612;41
1501808003001;3244;123
1501808003003;2362;87
1501907001001;300;41
1501956001001;50;8
1502004001001;795;15
1502103003001;44;12
1502103003002;4;2
1502103003003;5150;141
1502152001001;4972;203
1502202003001;1917;173
1502202003002;3546;264
1502301003001;2610;112
1502301003002;104;7
1502400003001;220;51
1502400003002;6562;648
1502400003003;59;14
1502400003004;683;42
1502400003005;2423;121
1502400003006;2565;200
1502400003007;14589;655
1502400003008;1682;102
1502509001001;658;22
1502608001001;320;8
1502707003001;781;68
1502707003002;2104;289
1502756001001;2113;83
1502764001001;1823;92
1502772001001;1138;111
1502806001001;810;7
