low,high,percentage
0,14,0.0002
15,19,0.1004
20,24,0.2237
25,29,0.2331
30,34,0.1707
35,39,0.1071
40,44,0.0640
45,49,0.0430
50,54,0.0280
55,59,0.0150
60,64,0.0080
65,100,0.0067
