;AP;num_employees_clt;num_firms
0;1302603999001;35904;5795
1;1302603999002;8621;1427
2;1302603999003;1158;337
3;1302603999004;2441;446
4;1302603999005;1780;374
5;1302603999006;5156;1366
6;1302603999007;2131;627
7;1302603999008;1533;536
8;1302603999009;4312;778
9;1302603999010;914;621
10;1302603999011;1454;479
11;1302603999012;1308;305
12;1302603999013;2224;313
13;1302603999014;1813;294
14;1302603999015;4566;912
15;1302603999016;907;215
16;1302603999017;3381;677
17;1302603999018;1030;376
18;1302603999019;31789;564
19;1302603999020;1485;140
20;1302603999021;6672;1254
21;1302603999022;14071;1629
22;1302603999023;3534;457
23;1302603999024;3971;1024
24;1302603999025;7342;697
25;1302603999026;1137;174
26;1302603999027;526;84
27;1302603999028;1590;208
28;1302603999029;2266;927
29;1302603999030;4013;106
30;1302603999031;3068;160
31;1302603999032;6367;1088
32;1302603999033;2479;242
33;1302603999034;92;55
34;1302603999035;469;109
35;1302603999036;4469;753
36;1302603999037;875;236
37;1302603999038;311;106
38;1302603999039;3888;124
39;1500800999001;1917;292
40;1500800999002;675;127
41;1500800999003;2340;252
42;1500800999004;9394;889
43;1500800999005;1426;327
44;1500800999006;489;121
45;1500800999007;3157;917
46;1500800999008;2453;236
47;1500800999009;194;80
48;1500800999010;3653;590
49;1500800999011;283;91
50;1500800999012;226;59
51;1500800999013;583;51
52;1500800999014;619;63
53;1500800999015;168;77
54;1501303001001;2593;632
55;1501303001002;5294;70
56;1501402999001;32975;5369
57;1501402999002;3555;527
58;1501402999003;5403;512
59;1501402999004;2758;332
60;1501402999006;418;129
61;1501402999007;11984;1788
62;1501402999008;11965;1224
63;1501402999009;16466;2412
64;1501402999010;7510;1108
65;1501402999011;177;80
66;1501402999012;200;79
67;1501402999013;4682;428
68;1501402999014;275;167
69;1501402999015;5437;457
70;1501402999016;7028;467
71;1501402999017;4128;810
72;1501402999018;2153;321
73;1501402999019;319;88
74;1501402999020;153;36
75;1501402999021;372;95
76;1501402999022;1044;237
77;1501402999023;3847;186
78;1501402999024;140;38
79;1501402999025;5411;575
80;1501402999026;7610;1165
81;1501402999027;4798;483
82;1501402999028;1065;213
83;1501402999029;5880;806
84;1501402999030;1726;471
85;1501402999031;782;337
86;1501402999032;1449;294
87;1501402999033;1170;297
88;1501402999034;2261;207
89;1501402999035;1441;89
90;1501402999036;2069;401
91;1501402999037;79;90
92;1501402999038;821;91
93;1501501001001;1691;379
94;1504422001001;3305;452
95;1600303999001;8392;1931
96;1600303999002;4331;349
97;1600303999003;539;181
98;1600303999004;133;118
99;1600303999005;1200;253
100;1600303999006;97;75
101;1600303999007;293;123
102;1600303999008;2647;694
103;1600303999009;857;269
104;1600303999010;3338;709
105;1600303999011;724;119
106;1600303999012;347;118
107;1600303999013;2457;451
108;1600303999014;14;11
109;1600600001001;2414;1090
110;2107506001001;1023;743
111;2109452001001;484;139
112;2111201001005;1408;571
113;2111201001010;1285;415
114;2111300999001;5212;779
115;2111300999002;1760;491
116;2111300999003;2599;299
117;2111300999004;3868;723
118;2111300999005;3361;1069
119;2111300999006;1506;224
120;2111300999007;1757;293
121;2111300999008;1598;318
122;2111300999009;2278;332
123;2111300999010;817;291
124;2111300999011;1076;642
125;2111300999012;6886;1574
126;2111300999013;1537;497
127;2111300999014;2025;762
128;2111300999015;189;152
129;2111300999016;559;140
130;2111300999017;2227;473
131;2111300999018;1309;393
132;2111300999019;684;186
133;2111300999020;2182;502
134;2111300999021;324;223
135;2111300999022;1436;750
136;2111300999023;24;83
137;2111300999024;1168;1008
138;2111300999025;291;90
139;2111300999026;198;60
140;2111300999027;646;264
141;2111300999028;0;2
142;2111300999029;7771;1388
143;2111300999030;2910;521
144;2111300999031;177;130
145;2111300999032;2226;487
146;2111300999033;2599;541
147;2111300999034;9747;1781
148;2111300999035;8038;347
149;2111300999036;20348;3352
150;2112209999001;1021;388
151;2112209999002;1192;610
152;2112209999003;30;45
153;2112209999004;1107;117
154;2112209999005;214;161
155;2112209999006;0;1
156;2203305001001;716;135
157;2211001999001;2740;638
158;2211001999002;1277;576
159;2211001999003;358;428
160;2211001999004;335;108
161;2211001999005;829;143
162;2211001999006;87;30
163;2211001999007;1818;320
164;2211001999008;1246;677
165;2211001999009;61;101
166;2211001999010;409;201
167;2211001999011;495;204
168;2211001999012;37236;5190
169;2211001999013;4248;939
170;2211001999014;8829;981
171;2211001999015;5984;522
172;2211001999016;4041;873
173;2211001999017;53819;1286
174;2211001999018;473;89
175;2211001999019;45;55
176;2211001999020;1924;418
177;2211001999021;180;118
178;2211001999022;1931;615
179;2211001999023;10828;2241
180;2211001999024;2378;710
181;2211001999025;1260;284
182;2211001999026;1845;463
183;2211001999027;1483;328
184;2211001999028;368;200
185;2211001999029;2612;386
186;2211001999030;68;68
187;2211001999031;407;54
188;2211001999032;385;10
189;2301000001005;3795;855
190;2301000001099;478;133
191;2301901001001;4027;825
192;2303709001001;3911;1141
193;2303709001002;1218;500
194;2303709001003;883;387
195;2303709001004;1641;303
196;2303709005001;139;201
197;2303709005002;162;255
198;2303709005003;472;189
199;2303709005004;172;182
200;2303709005005;1211;289
201;2303709501001;28;6
202;2304202001005;9222;2459
203;2304202001099;1;7
204;2304285001001;22398;1034
205;2304400999001;2404;1189
206;2304400999002;8330;1225
207;2304400999003;1544;822
208;2304400999004;1563;297
209;2304400999005;2905;429
210;2304400999006;2455;601
211;2304400999007;677;425
212;2304400999008;2330;590
213;2304400999009;5441;1337
214;2304400999010;3236;1455
215;2304400999011;3712;1002
216;2304400999012;2594;768
217;2304400999013;3853;1106
218;2304400999014;8849;1561
219;2304400999015;11211;2549
220;2304400999016;6715;1349
221;2304400999017;40168;9846
222;2304400999018;14279;2635
223;2304400999019;29857;5797
224;2304400999020;6813;1725
225;2304400999021;4305;1084
226;2304400999022;15024;2815
227;2304400999023;8363;1367
228;2304400999024;2217;342
229;2304400999025;1440;550
230;2304400999026;4798;1293
231;2304400999027;2153;471
232;2304400999028;1331;672
233;2304400999029;4177;1041
234;2304400999030;1452;505
235;2304400999031;1220;648
236;2304400999032;990;337
237;2304400999033;533;315
238;2304400999034;470;349
239;2304400999035;7381;865
240;2304400999036;6509;1042
241;2304400999037;1093;397
242;2304400999038;3876;979
243;2304400999039;2783;653
244;2304400999040;1471;464
245;2304400999041;511;251
246;2304400999042;1084;225
247;2304400999043;2213;584
248;2304400999044;3834;1223
249;2304400999045;992;623
250;2304400999046;1937;263
251;2304400999047;3510;539
252;2304400999048;687;180
253;2304400999049;2868;817
254;2304400999050;9490;1599
255;2304400999051;1592;629
256;2304400999052;1996;629
257;2304400999053;864;436
258;2304400999054;2214;811
259;2304400999055;1923;1086
260;2304400999056;392;442
261;2304400999057;6978;1191
262;2304400999058;402;483
263;2304400999059;472;395
264;2304400999060;1340;602
265;2304400999061;1160;582
266;2304400999062;6293;838
267;2304400999063;1848;432
268;2304400999064;2417;634
269;2304400999065;10424;2013
270;2304400999066;4362;1112
271;2304400999067;1857;505
272;2304400999068;860;301
273;2304400999069;3273;660
274;2304400999070;6266;638
275;2304400999071;1734;624
276;2306256001001;824;337
277;2307304999001;2817;835
278;2307304999002;459;153
279;2307304999003;2583;434
280;2307304999004;1547;278
281;2307304999005;5460;2088
282;2307304999006;1032;572
283;2307304999007;1865;798
284;2307304999008;295;174
285;2307304999009;601;391
286;2307304999010;471;295
287;2307650999001;7602;1091
288;2307650999002;1148;468
289;2307650999003;1751;377
290;2307650999004;7376;361
291;2307650999005;6477;1055
292;2307700001005;9029;1319
293;2307700001099;0;1
294;2309706001001;2522;496
295;2403251001001;1677;562
296;2403251001002;2169;247
297;2403251001003;6006;1130
298;2403251001004;982;369
299;2403251001005;1548;604
300;2403608001001;366;214
301;2407104001001;2044;720
302;2407104001002;412;61
303;2408102999001;3348;896
304;2408102999002;976;431
305;2408102999003;1398;515
306;2408102999004;767;381
307;2408102999005;1181;533
308;2408102999006;18365;3341
309;2408102999007;7264;1230
310;2408102999008;3078;851
311;2408102999009;2001;667
312;2408102999010;2471;766
313;2408102999011;11886;1512
314;2408102999012;13012;2370
315;2408102999013;3949;537
316;2408102999014;27411;3472
317;2408102999015;14129;3876
318;2408102999016;1870;563
319;2408102999017;735;306
320;2408102999018;1839;360
321;2408102999019;1939;256
322;2408102999020;3058;1041
323;2408102999021;3492;813
324;2408201001001;654;274
325;2412005001005;306;81
326;2412005001099;6212;571
327;2412203001001;1303;387
328;2501807001001;362;72
329;2501807001002;2662;355
330;2501807001003;1410;469
331;2501807001004;506;218
332;2503209001001;6923;1528
333;2504009999001;11309;3185
334;2504009999002;2292;691
335;2504009999003;453;208
336;2504009999004;1213;257
337;2504009999005;820;383
338;2504009999006;6872;1790
339;2504009999007;2378;514
340;2504009999008;3387;499
341;2504009999009;751;330
342;2504009999010;452;262
343;2504009999011;2828;128
344;2504009999012;337;215
345;2504009999013;1734;307
346;2504009999014;1905;229
347;2504009999015;635;226
348;2504009999016;268;211
349;2504009999017;12;73
350;2504900001001;604;87
351;2507507999001;5692;1285
352;2507507999002;319;123
353;2507507999003;982;493
354;2507507999004;23039;4730
355;2507507999005;1609;527
356;2507507999006;1462;499
357;2507507999007;708;203
358;2507507999008;1696;348
359;2507507999009;4222;1152
360;2507507999010;132;178
361;2507507999011;1403;292
362;2507507999012;1399;335
363;2507507999013;3309;427
364;2507507999014;2754;783
365;2507507999015;9382;399
366;2507507999016;4024;1118
367;2507507999017;715;262
368;2507507999018;2024;1141
369;2507507999019;4419;351
370;2507507999020;105;109
371;2507507999021;3387;878
372;2507507999022;2984;518
373;2507507999023;6218;1401
374;2507507999024;7290;2013
375;2507507999025;259;266
376;2507507999026;674;267
377;2508307001001;221;297
378;2512507001001;1122;150
379;2512507001002;435;224
380;2513703001001;206;226
381;2513703001002;220;91
382;2513703001003;481;176
383;2513703001004;4895;635
384;2513703001005;6284;132
385;2600054001001;3888;463
386;2600054001002;641;137
387;2600054001003;510;117
388;2600054001004;1287;63
389;2600054001005;719;157
390;2602902001005;5882;1264
391;2602902001099;7667;1129
392;2603454001001;1010;282
393;2603454001002;2373;571
394;2603454001003;1010;459
395;2603454001004;267;124
396;2603454001005;82;58
397;2603454001006;825;252
398;2605202001001;4310;739
399;2606804001001;7409;870
400;2606804001002;199;187
401;2606804001003;463;158
402;2606804001004;893;64
403;2607604001001;468;253
404;2607752001001;1727;176
405;2607901001001;2416;168
406;2607901001002;7395;411
407;2607901001003;1775;592
408;2607901001004;3240;864
409;2607901001005;1523;295
410;2607901001006;1271;210
411;2607901001007;703;322
412;2607901001008;3401;677
413;2607901001009;3020;325
414;2607901001010;1003;347
415;2607901001011;875;256
416;2607901001012;249;166
417;2607901001013;425;58
418;2607901001014;50;39
419;2607901001015;10592;662
420;2607901001016;4181;665
421;2607901002001;341;85
422;2607901002002;827;205
423;2607901002003;820;259
424;2607901002004;137;128
425;2607901002005;949;251
426;2607901002006;532;281
427;2607901003001;2590;362
428;2607901003002;102;66
429;2607901003003;1496;458
430;2607901003004;2474;299
431;2609402001001;2616;535
432;2609600999001;1120;281
433;2609600999002;1811;519
434;2609600999003;7083;764
435;2609600999004;1713;356
436;2609600999005;735;340
437;2609600999006;7485;490
438;2609600999007;15994;2297
439;2609600999008;5837;974
440;2609600999009;408;159
441;2609600999010;2390;708
442;2610608001001;3608;483
443;2610707999001;818;370
444;2610707999002;1045;315
445;2610707999003;1723;240
446;2610707999004;478;268
447;2610707999005;1389;115
448;2610707999006;71;33
449;2610707999007;175;160
450;2610707999008;1977;515
451;2610707999009;2066;344
452;2610707999010;2882;295
453;2610707999011;390;161
454;2610707999012;3274;920
455;2611101999001;13412;3607
456;2611101999002;4267;886
457;2611101999003;4240;1514
458;2611101999004;1663;240
459;2611101999005;27;2
460;2611101999006;161;25
461;2611606999001;33488;3898
462;2611606999002;32818;3930
463;2611606999003;29282;4630
464;2611606999004;1474;346
465;2611606999005;6770;1033
466;2611606999006;6715;889
467;2611606999007;762;255
468;2611606999008;528;156
469;2611606999009;1060;413
470;2611606999010;278;189
471;2611606999011;444;126
472;2611606999012;9437;1537
473;2611606999013;12427;1959
474;2611606999014;4415;1010
475;2611606999015;5010;1143
