year;cod_mun;idhm
2000;1506708;0.45
2000;1506807;0.555
2000;1506906;0.424
2000;1507003;0.475
2000;1507102;0.46399999999999997
2000;1507151;0.45399999999999996
2000;1507201;0.371
2000;1507300;0.435
2000;1507409;0.47600000000000003
2000;1507458;0.415
2000;1507466;0.44799999999999995
2000;1507474;0.415
2000;1507508;0.349
2000;1507607;0.45299999999999996
2000;1507706;0.42200000000000004
2000;1507755;0.469
2000;1507805;0.361
2000;1507904;0.513
2000;1507953;0.433
2000;1507961;0.474
2000;1507979;0.49
2000;1508001;0.43799999999999994
2000;1508035;0.35700000000000004
2000;1508050;0.395
2000;1508084;0.512
2000;1508100;0.5429999999999999
2000;1508126;0.42
2000;1508159;0.45
2000;1508209;0.48700000000000004
2000;1508308;0.353
2000;1508357;0.42200000000000004
2000;1508407;0.519
2000;1600055;0.569
2000;1600105;0.498
2000;1600154;0.442
2000;1600204;0.488
2000;1600212;0.444
2000;1600238;0.537
2000;1600253;0.415
2000;1600279;0.48100000000000004
2000;1600303;0.622
2000;1600402;0.434
2000;1600501;0.537
2000;1600535;0.52
2000;1600550;0.44
2000;1600600;0.562
2000;1600709;0.45
2000;1600808;0.45899999999999996
2000;1700251;0.45399999999999996
2000;1700301;0.466
2000;1700350;0.544
2000;1700400;0.42
2000;1700707;0.578
2000;1701002;0.496
2000;1701051;0.485
2000;1701101;0.479
2000;1701309;0.402
2000;1701903;0.47700000000000004
2000;1702000;0.542
2000;1702109;0.58
2000;1702158;0.38799999999999996
2000;1702208;0.43200000000000005
2000;1702307;0.48
2000;1702406;0.474
2000;1702554;0.462
2000;1702703;0.486
2000;1702901;0.43200000000000005
2000;1703008;0.397
2000;1703057;0.445
2000;1703073;0.36
2000;1703107;0.49700000000000005
2000;1703206;0.504
2000;1703305;0.396
2000;1703602;0.505
2000;1703701;0.48700000000000004
2000;1703800;0.462
2000;1703826;0.44299999999999995
2000;1703842;0.34299999999999997
2000;1703867;0.528
2000;1703883;0.447
2000;1703891;0.40700000000000003
2000;1703909;0.49
2000;1704105;0.40700000000000003
2000;1704600;0.41
2000;1705102;0.401
2000;1705508;0.561
2000;1705557;0.526
2000;1705607;0.42200000000000004
2000;1706001;0.409
2000;1706100;0.544
2000;1706258;0.491
2000;1706506;0.41
2000;1707009;0.515
2000;1707108;0.503
2000;1707207;0.439
2000;1707306;0.5
2000;1707405;0.35700000000000004
2000;1707553;0.5429999999999999
2000;1707652;0.5529999999999999
2000;1707702;0.447
2000;1708205;0.507
2000;1708254;0.473
2000;1708304;0.41600000000000004
2000;1709005;0.34700000000000003
2000;1709302;0.5589999999999999
2000;1709500;0.61
2000;1709807;0.384
2000;1710508;0.426
2000;1710706;0.37799999999999995
2000;1710904;0.382
2000;1711100;0.515
2000;1711506;0.47100000000000003
2000;1711803;0.44799999999999995
2000;1711902;0.479
2000;1711951;0.317
2000;1712009;0.506
2000;1712157;0.431
2000;1712405;0.38799999999999996
2000;1712454;0.45399999999999996
2000;1712504;0.49700000000000005
2000;1712702;0.281
2000;1712801;0.38299999999999995
2000;1713205;0.58
2000;1713304;0.508
2000;1713601;0.413
2000;1713700;0.45399999999999996
2000;1713809;0.435
2000;1713957;0.386
2000;1714203;0.47600000000000003
2000;1714302;0.48200000000000004
2000;1714880;0.467
2000;1715002;0.556
2000;1715101;0.473
2000;1715150;0.544
2000;1715259;0.371
2000;1715507;0.496
2000;1715705;0.326
2000;1715754;0.545
2000;1716109;0.613
2000;1716208;0.33399999999999996
2000;1716307;0.426
2000;1716505;0.546
2000;1716604;0.48200000000000004
2000;1716653;0.433
2000;1716703;0.502
2000;1717008;0.423
2000;1717206;0.431
2000;1717503;0.48700000000000004
2000;1717800;0.41100000000000003
2000;1717909;0.461
2000;1718006;0.44
2000;1718204;0.562
2000;1718303;0.374
2000;1718402;0.527
2000;1718451;0.45
2000;1718501;0.33
2000;1718550;0.361
2000;1718659;0.41200000000000003
2000;1718709;0.47600000000000003
2000;1718758;0.363
2000;1718808;0.457
2000;1718840;0.498
2000;1718865;0.439
2000;1718881;0.41200000000000003
2000;1718899;0.43
2000;1718907;0.41
2000;1719004;0.479
2000;1720002;0.39799999999999996
2000;1720101;0.41100000000000003
2000;1720150;0.419
2000;1720200;0.42
2000;1720259;0.419
2000;1720309;0.439
2000;1720499;0.46
2000;1720655;0.451
2000;1720804;0.457
2000;1720853;0.45299999999999996
2000;1720903;0.451
2000;1720937;0.387
2000;1720978;0.48100000000000004
2000;1721000;0.654
2000;1721109;0.445
2000;1721208;0.542
2000;1721257;0.445
2000;1721307;0.446
2000;1722081;0.474
2000;1722107;0.504
2000;2100055;0.498
2000;2100105;0.337
2000;2100154;0.293
2000;2100204;0.405
2000;2100303;0.349
2000;2100402;0.384
2000;2100436;0.331
2000;2100477;0.336
2000;2100501;0.435
2000;2100550;0.327
2000;2100600;0.374
2000;2100709;0.397
2000;2100808;0.42100000000000004
2000;2100832;0.327
2000;2100873;0.359
2000;2100907;0.298
2000;2100956;0.33399999999999996
2000;2101004;0.47
2000;2101103;0.46399999999999997
2000;2101202;0.48100000000000004
2000;2101251;0.433
2000;2101301;0.40299999999999997
2000;2101350;0.369
2000;2101400;0.521
2000;2101509;0.424
2000;2101608;0.423
2000;2101707;0.361
2000;2101731;0.32
2000;2101772;0.355
2000;2101806;0.379
2000;2101905;0.42200000000000004
2000;2101939;0.413
2000;2101970;0.369
2000;2102002;0.332
2000;2102036;0.364
2000;2102077;0.382
2000;2102101;0.38299999999999995
2000;2102150;0.317
2000;2102200;0.379
2000;2102309;0.395
2000;2102325;0.342
2000;2102358;0.376
2000;2102374;0.344
2000;2102408;0.38799999999999996
2000;2102507;0.331
2000;2102556;0.441
2000;2102606;0.382
2000;2102705;0.37799999999999995
2000;2102754;0.36700000000000005
2000;2102804;0.47600000000000003
2000;2102903;0.381
2000;2103000;0.469
2000;2103109;0.452
2000;2103125;0.392
2000;2103158;0.307
2000;2103174;0.321
2000;2103208;0.42
2000;2103257;0.414
2000;2103307;0.4
2000;2103406;0.387
2000;2103505;0.408
2000;2103554;0.309
2000;2103604;0.376
2000;2103703;0.46
2000;2103752;0.418
2000;2103802;0.48
2000;2103901;0.38299999999999995
2000;2104008;0.375
2000;2104057;0.46799999999999997
2000;2104073;0.302
2000;2104081;0.261
2000;2104099;0.335
2000;2104107;0.42
2000;2104206;0.43
2000;2104305;0.38799999999999996
2000;2104404;0.395
2000;2104503;0.377
2000;2104552;0.42200000000000004
2000;2104602;0.39299999999999996
2000;2104628;0.369
2000;2104651;0.318
2000;2104677;0.361
2000;2104701;0.406
2000;2104800;0.42100000000000004
2000;2104909;0.479
2000;2105005;0.365
2000;2105104;0.348
2000;2105153;0.341
2000;2105203;0.44299999999999995
2000;2105302;0.591
2000;2105351;0.319
2000;2105401;0.431
2000;2105427;0.48
2000;2105450;0.385
2000;2105476;0.335
2000;2105500;0.45399999999999996
2000;2105609;0.36700000000000005
2000;2105658;0.37200000000000005
2000;2105708;0.43
2000;2105807;0.38799999999999996
2000;2105906;0.348
2000;2105922;0.313
2000;2105948;0.39299999999999996
2000;2105963;0.309
2000;2105989;0.374
2000;2106003;0.405
2000;2106102;0.39799999999999996
2000;2106201;0.452
2000;2106300;0.386
2000;2106326;0.391
2000;2106359;0.309
2000;2106375;0.306
2000;2106409;0.39
2000;2106508;0.44299999999999995
2000;2106607;0.33
2000;2106631;0.342
2000;2106672;0.322
2000;2106706;0.368
2000;2106755;0.47100000000000003
2000;2106805;0.491
2000;2106904;0.366
2000;2107001;0.41200000000000003
2000;2107100;0.4
2000;2107209;0.415
2000;2107258;0.371
2000;2107308;0.41600000000000004
2000;2107357;0.382
2000;2107407;0.402
2000;2107456;0.41200000000000003
2000;2107506;0.617
2000;2107605;0.38299999999999995
2000;2107704;0.409
2000;2107803;0.35200000000000004
2000;2107902;0.38299999999999995
2000;2108009;0.431
2000;2108058;0.317
2000;2108108;0.358
2000;2108207;0.502
2000;2108256;0.316
2000;2108306;0.381
2000;2108405;0.40299999999999997
2000;2108454;0.354
2000;2108504;0.45899999999999996
2000;2108603;0.467
2000;2108702;0.36
2000;2108801;0.384
2000;2108900;0.396
2000;2109007;0.504
2000;2109056;0.45
2000;2109106;0.496
2000;2109205;0.371
2000;2109239;0.43200000000000005
2000;2109270;0.32799999999999996
2000;2109304;0.389
2000;2109403;0.37799999999999995
2000;2109452;0.44
2000;2109502;0.38
2000;2109551;0.402
2000;2109601;0.484
2000;2109700;0.40299999999999997
2000;2109759;0.337
2000;2109809;0.39799999999999996
2000;2109908;0.512
2000;2110005;0.33
2000;2110039;0.395
2000;2110104;0.38299999999999995
2000;2110203;0.446
2000;2110237;0.267
2000;2110278;0.336
2000;2110302;0.379
2000;2110401;0.368
2000;2110500;0.449
2000;2110609;0.374
2000;2110658;0.39799999999999996
2000;2110708;0.39399999999999996
2000;2110807;0.391
2000;2110856;0.424
2000;2110906;0.349
2000;2111003;0.433
2000;2111029;0.281
2000;2111052;0.42100000000000004
2000;2111078;0.33399999999999996
2000;2111102;0.478
2000;2111201;0.5720000000000001
2000;2111250;0.374
2000;2111300;0.6579999999999999
2000;2111409;0.336
2000;2111508;0.38799999999999996
2000;2111532;0.415
2000;2111573;0.365
2000;2111607;0.451
2000;2111631;0.34
2000;2111672;0.285
2000;2111706;0.423
2000;2111722;0.319
2000;2111748;0.36200000000000004
2000;2111763;0.392
2000;2111789;0.34299999999999997
2000;2111805;0.376
2000;2111904;0.39799999999999996
2000;2111953;0.37799999999999995
2000;2112001;0.445
2000;2112100;0.344
2000;2112209;0.479
2000;2112233;0.434
2000;2112274;0.37
2000;2112308;0.387
2000;2112407;0.32899999999999996
2000;2112456;0.322
2000;2112506;0.34299999999999997
2000;2112605;0.379
2000;2112704;0.363
2000;2112803;0.457
2000;2112852;0.379
2000;2112902;0.43799999999999994
2000;2113009;0.41200000000000003
2000;2114007;0.42100000000000004
2000;2200053;0.27399999999999997
2000;2200103;0.447
2000;2200202;0.506
2000;2200251;0.368
2000;2200277;0.431
2000;2200301;0.36700000000000005
2000;2200400;0.424
2000;2200459;0.40299999999999997
2000;2200509;0.46
2000;2200608;0.47600000000000003
2000;2200707;0.425
2000;2200806;0.478
2000;2200905;0.41600000000000004
2000;2200954;0.20800000000000002
2000;2201002;0.41200000000000003
2000;2201051;0.341
2000;2201101;0.36700000000000005
2000;2201150;0.349
2000;2201176;0.376
2000;2201200;0.41700000000000004
2000;2201309;0.413
2000;2201408;0.48100000000000004
2000;2201507;0.377
2000;2201556;0.301
2000;2201572;0.324
2000;2201606;0.392
2000;2201705;0.441
2000;2201739;0.257
2000;2201770;0.35100000000000003
2000;2201804;0.483
2000;2201903;0.486
2000;2201919;0.345
2000;2201929;0.402
2000;2201945;0.316
2000;2201960;0.396
2000;2201988;0.278
2000;2202000;0.382
2000;2202026;0.368
2000;2202059;0.36200000000000004
2000;2202075;0.33299999999999996
2000;2202083;0.365
2000;2202091;0.33299999999999996
2000;2202109;0.371
2000;2202117;0.27699999999999997
2000;2202133;0.35
2000;2202174;0.336
2000;2202208;0.5
2000;2202251;0.38799999999999996
2000;2202307;0.426
2000;2202406;0.396
2000;2202455;0.28800000000000003
2000;2202505;0.385
2000;2202539;0.272
2000;2202554;0.349
2000;2202604;0.39899999999999997
2000;2202653;0.267
2000;2202703;0.319
2000;2202711;0.384
2000;2202729;0.264
2000;2202737;0.37
2000;2202752;0.445
2000;2202778;0.335
2000;2202802;0.39
2000;2202851;0.386
2000;2202901;0.474
2000;2203008;0.41600000000000004
2000;2203107;0.46
2000;2203206;0.489
2000;2203230;0.33899999999999997
2000;2203255;0.341
2000;2203271;0.35
2000;2203305;0.455
2000;2203354;0.40700000000000003
2000;2203404;0.466
2000;2203420;0.33799999999999997
2000;2203453;0.27899999999999997
2000;2203503;0.40399999999999997
2000;2203602;0.449
2000;2203701;0.42
2000;2203750;0.37
2000;2203800;0.353
2000;2203859;0.295
2000;2203909;0.5579999999999999
2000;2204006;0.39299999999999996
2000;2204105;0.391
2000;2204154;0.35600000000000004
2000;2204204;0.43799999999999994
2000;2204303;0.42100000000000004
2000;2204352;0.322
2000;2204402;0.41100000000000003
2000;2204501;0.495
2000;2204550;0.214
2000;2204600;0.405
2000;2204659;0.405
2000;2204709;0.449
2000;2204808;0.47
2000;2204907;0.36
2000;2205003;0.397
2000;2205102;0.444
2000;2205151;0.33299999999999996
2000;2205201;0.385
2000;2205250;0.42700000000000005
2000;2205276;0.361
2000;2205300;0.44799999999999995
2000;2205359;0.311
