;cod_mun;1;2;4;6;8;10;11;12;13;14;15;9
44;1101476;0,1681;0,269;0,2378;0,1787;0,0551;0,0258;0,0319;0;0;0,0011;0,0029;0,0295
45;1101484;0,1528;0,2273;0,2872;0,1714;0,0788;0,0292;0,0288;0,0008;0,0012;0;0,0006;0,0219
46;1101492;0,1401;0,2766;0,2479;0,1931;0,0606;0,0282;0,0416;0,0009;0,001;0,0004;0,0046;0,0051
47;1101500;0,1353;0,3008;0,2674;0,1509;0,0634;0,0175;0,0442;0,0007;0,0019;0,001;0,0027;0,0142
48;1101559;0,158;0,3104;0,2824;0,1408;0,0488;0,0142;0,0286;0;0,0015;0;0,0025;0,0128
49;1101609;0,1884;0,3058;0,2493;0,1419;0,067;0,014;0,0182;0,0006;0,0025;0,0017;0,0035;0,0071
50;1101708;0,1562;0,26;0,2526;0,2003;0,0612;0,0185;0,042;0,0009;0,0008;0,0006;0,0006;0,0063
51;1101757;0,1795;0,3315;0,2322;0,1422;0,0708;0,0058;0,0249;0;0,0016;0;0,0029;0,0087
52;1101807;0,1326;0,2949;0,2786;0,1858;0,0445;0,0227;0,0302;0,0046;0,0018;0;0,002;0,0024
53;1200013;0,2499;0,2857;0,1436;0,1589;0,0616;0,0336;0,0385;0;0;0,0028;0,0017;0,0237
54;1200054;0,1934;0,3362;0,1413;0,1112;0,0598;0,023;0,0651;0;0,0029;0;0,024;0,0432
55;1200104;0,2413;0,2604;0,1612;0,1224;0,0541;0,0432;0,0715;0,0017;0,0046;0,0041;0,0117;0,0239
56;1200138;0,3271;0,2335;0,1292;0,1444;0,0422;0,0395;0,0408;0,0013;0,0013;0,0013;0,0093;0,0301
57;1200179;0,3949;0,3012;0,1053;0,0879;0,0515;0,022;0,017;0;0;0;0,0035;0,0167
58;1200203;0,2121;0,2309;0,1313;0,1661;0,0864;0,0486;0,0868;0,0034;0,0034;0,0031;0,0099;0,0182
59;1200252;0,21;0,2697;0,1588;0,1523;0,0573;0,0426;0,063;0,0027;0,0023;0,001;0,005;0,0354
60;1200302;0,5451;0,1851;0,0633;0,0789;0,0326;0,0341;0,0268;0,0012;0,0003;0;0,0082;0,0243
61;1200328;0,6218;0,2439;0,0463;0,042;0,0164;0,0059;0,0046;0;0;0;0,0015;0,0175
62;1200336;0,2037;0,2966;0,1182;0,1296;0,081;0,0626;0,0705;0,0007;0,0007;0,0026;0,0032;0,0307
63;1200344;0,4369;0,235;0,08;0,1201;0,0447;0,046;0,0259;0;0,001;0,001;0,001;0,0084
64;1200351;0,4466;0,2858;0,1304;0,0551;0,0459;0,0072;0,0114;0;0,0019;0,0007;0;0,015
65;1200385;0,2391;0,2523;0,1422;0,1493;0,0749;0,0516;0,0429;0;0;0,0015;0,0064;0,0397
66;1200393;0,4433;0,256;0,1129;0,0726;0,0638;0,0139;0,0312;0;0;0;0;0,0064
67;1200401;0,1264;0,1704;0,1252;0,1993;0,0973;0,0729;0,1303;0,0075;0,0068;0,0076;0,0348;0,0215
68;1200427;0,4326;0,2269;0,1194;0,0839;0,0541;0,0196;0,0409;0;0,0009;0;0,0007;0,0209
69;1200435;0,5475;0,3021;0,0521;0,067;0,0198;0,0061;0,0027;0;0;0;0;0,0027
70;1200450;0,2161;0,25;0,1544;0,1702;0,0676;0,0506;0,0632;0,0025;0,0019;0,0039;0,0085;0,0111
71;1200500;0,3035;0,2555;0,1446;0,1104;0,0484;0,0422;0,0616;0,0004;0;0,0006;0,009;0,0237
72;1200609;0,4238;0,1971;0,0879;0,1015;0,043;0,055;0,05;0;0;0,002;0,0071;0,0326
73;1200708;0,2762;0,2678;0,112;0,1231;0,0536;0,039;0,0754;0;0,001;0,0014;0,0122;0,0382
74;1200807;0,271;0,2598;0,1589;0,1525;0,0743;0,031;0,0182;0,0007;0,0006;0,0003;0,005;0,0277
75;1300029;0,267;0,3573;0,105;0,1736;0,0301;0,0196;0,0318;0;0;0;0,0058;0,0098
76;1300060;0,2616;0,2786;0,1381;0,1472;0,0503;0,0352;0,0622;0;0,0024;0;0,0031;0,0214
77;1300086;0,2382;0,325;0,1441;0,1622;0,0333;0,0187;0,056;0;0;0;0;0,0225
78;1300102;0,2779;0,2671;0,1285;0,146;0,0392;0,0374;0,0766;0,0013;0;0,0023;0,0017;0,022
79;1300144;0,1712;0,3359;0,1775;0,1803;0,034;0,0357;0,0425;0,0006;0,0015;0,003;0,0031;0,0148
80;1300201;0,487;0,2132;0,0682;0,114;0,0298;0,0249;0,0254;0,0032;0,0028;0,0016;0,0083;0,0214
81;1300300;0,1744;0,3172;0,1838;0,1679;0,0532;0,0177;0,0528;0;0,0011;0,0003;0,0039;0,0278
82;1300409;0,4106;0,2165;0,0989;0,1651;0,0285;0,035;0,0394;0;0;0,0005;0,001;0,0046
83;1300508;0,1532;0,3544;0,1685;0,1632;0,0457;0,0277;0,066;0;0,0013;0,0006;0,0041;0,0152
84;1300607;0,2751;0,2614;0,1179;0,202;0,0417;0,0389;0,0456;0,0021;0,0008;0,002;0,0062;0,0062
85;1300631;0,4358;0,2676;0,0966;0,1095;0,014;0,0293;0,0398;0,0014;0;0;0,0018;0,0042
86;1300680;0,1058;0,3284;0,1848;0,2482;0,0292;0,0318;0,0576;0,001;0,0024;0,0005;0,0049;0,0053
87;1300706;0,3168;0,2879;0,1253;0,128;0,0401;0,0346;0,0593;0,0006;0,0014;0,0005;0,0021;0,0035
