,Unnamed: 0.1,uf,ano,fpm,cod
0,0,RS,2000,1062465.51,4310439
1,1,RS,2001,1194582.31,4310439
2,2,RS,2002,1478866.14,4310439
3,3,RS,2003,1542973.07,4310439
4,4,RS,2004,1711338.86,4310439
5,5,RS,2005,2140962.53,4310439
6,6,RS,2006,2377973.62,4310439
7,7,RS,2007,2754051.54,4310439
8,8,RS,2008,3441130.64,4310439
9,9,RS,2009,3225383.91,4310439
10,10,RS,2010,3463901.55,4310439
11,11,RS,2011,4279550.66,4310439
12,12,RS,2012,4418141.04,4310439
13,13,RS,2013,4745462.25,4310439
14,14,RS,2014,5103649.71,4310439
15,15,RS,2015,5436426.79,4310439
16,16,RS,2016,6346063.96,4310439
17,17,RS,2017,2301888.28,4310439
18,18,RS,2000,6020635.53,4301602
19,19,RS,2001,6401696.19,4301602
20,20,RS,2002,8378877.02,4301602
21,21,RS,2003,8743344.45,4301602
22,22,RS,2004,9697584.3,4301602
23,23,RS,2005,12132118.15,4301602
24,24,RS,2006,13475181.42,4301602
25,25,RS,2007,15606289.68,4301602
26,26,RS,2008,18352695.12,4301602
27,27,RS,2009,18277173.75,4301602
28,28,RS,2010,19628774.06,4301602
29,29,RS,2011,24250785.56,4301602
30,30,RS,2012,25036131.08,4301602
31,31,RS,2013,26890951.54,4301602
32,32,RS,2014,28920680.59,4301602
33,33,RS,2015,30806416.97,4301602
34,34,RS,2016,35961027.51,4301602
35,35,RS,2017,13044033.2,4301602
36,36,RS,2000,1062465.51,4305439
37,37,RS,2001,1194582.31,4305439
38,38,RS,2002,1478866.14,4305439
39,39,RS,2003,1542973.07,4305439
40,40,RS,2004,1711338.86,4305439
41,41,RS,2005,2140962.53,4305439
42,42,RS,2006,2377973.62,4305439
43,43,RS,2007,2754051.54,4305439
44,44,RS,2008,3441130.64,4305439
45,45,RS,2009,3225383.91,4305439
46,46,RS,2010,3463901.55,4305439
47,47,RS,2011,4279550.66,4305439
48,48,RS,2012,4418141.04,4305439
49,49,RS,2013,4745462.25,4305439
50,50,RS,2014,5103649.71,4305439
51,51,RS,2015,5436426.79,4305439
