,Unnamed: 0.1,ano,fpm,cod,uf
126,126,2007.0,5166718.11,2200509,PI
127,127,2008.0,6159405.07,2200509,PI
128,128,2009.0,5757085.37,2200509,PI
129,129,2010.0,6191471.08,2200509,PI
130,130,2011.0,7624325.73,2200509,PI
131,131,2012.0,7852120.8,2200509,PI
132,132,2013.0,8444640.58,2200509,PI
133,133,2014.0,9180795.89,2200509,PI
134,134,2015.0,9776402.26,2200509,PI
135,135,2016.0,1889021.93,2200509,PI
136,136,2000.0,1016891.88,2200608,PI
137,137,2001.0,1198140.17,2200608,PI
138,138,2002.0,1470947.94,2200608,PI
139,139,2003.0,1487631.29,2200608,PI
140,140,2004.0,1592858.84,2200608,PI
141,141,2005.0,1929529.78,2200608,PI
142,142,2006.0,2070418.73,2200608,PI
143,143,2007.0,2304938.42,2200608,PI
144,144,2008.0,3079702.71,2200608,PI
145,145,2009.0,2878542.87,2200608,PI
146,146,2010.0,3095735.68,2200608,PI
147,147,2011.0,3812163.03,2200608,PI
148,148,2012.0,3926060.57,2200608,PI
149,149,2013.0,4222320.41,2200608,PI
150,150,2014.0,4590398.05,2200608,PI
151,151,2015.0,4888201.27,2200608,PI
152,152,2016.0,944510.98,2200608,PI
153,153,2000.0,929372.31,2200806,PI
154,154,2001.0,1075567.14,2200806,PI
155,155,2002.0,1331958.64,2200806,PI
156,156,2003.0,1414390.07,2200806,PI
157,157,2004.0,1577019.48,2200806,PI
158,158,2005.0,1982687.03,2200806,PI
159,159,2006.0,2219097.96,2200806,PI
160,160,2007.0,2583359.33,2200806,PI
161,161,2008.0,3079702.71,2200806,PI
162,162,2009.0,2878542.87,2200806,PI
163,163,2010.0,3095735.68,2200806,PI
164,164,2011.0,3812163.03,2200806,PI
165,165,2012.0,3926060.57,2200806,PI
166,166,2013.0,4222320.41,2200806,PI
167,167,2014.0,4590398.05,2200806,PI
168,168,2015.0,4888201.27,2200806,PI
169,169,2016.0,944510.98,2200806,PI
170,170,2000.0,1016891.88,2200707,PI
171,171,2001.0,1198140.17,2200707,PI
172,172,2002.0,1470947.94,2200707,PI
173,173,2003.0,1487631.29,2200707,PI
174,174,2004.0,1592858.84,2200707,PI
175,175,2005.0,1929529.78,2200707,PI
176,176,2006.0,2070418.73,2200707,PI
177,177,2007.0,2304938.42,2200707,PI
178,178,2008.0,3079702.71,2200707,PI
179,179,2009.0,2878542.87,2200707,PI
180,180,2010.0,3095735.68,2200707,PI
181,181,2011.0,3812163.03,2200707,PI
182,182,2012.0,3926060.57,2200707,PI
183,183,2013.0,4222320.41,2200707,PI
184,184,2014.0,4590398.05,2200707,PI
185,185,2015.0,4888201.27,2200707,PI
186,186,2016.0,944510.98,2200707,PI
187,187,2000.0,1016891.88,2200905,PI
188,188,2001.0,1198140.17,2200905,PI
189,189,2002.0,1470947.94,2200905,PI
190,190,2003.0,1487631.29,2200905,PI
191,191,2004.0,1592858.84,2200905,PI
192,192,2005.0,1929529.78,2200905,PI
193,193,2006.0,2070418.73,2200905,PI
194,194,2007.0,2304938.42,2200905,PI
195,195,2008.0,3079702.71,2200905,PI
196,196,2009.0,2878542.87,2200905,PI
197,197,2010.0,3095735.68,2200905,PI
198,198,2011.0,3812163.03,2200905,PI
199,199,2012.0,3926060.57,2200905,PI
200,200,2013.0,4222320.41,2200905,PI
201,201,2014.0,4590398.05,2200905,PI
202,202,2015.0,4888201.27,2200905,PI
203,203,2016.0,944510.98,2200905,PI
204,204,2000.0,929372.31,2201002,PI
205,205,2001.0,1075567.14,2201002,PI
206,206,2002.0,1331958.64,2201002,PI
207,207,2003.0,1414390.07,2201002,PI
208,208,2004.0,1577019.48,2201002,PI
209,209,2005.0,1982687.03,2201002,PI
210,210,2006.0,2219097.96,2201002,PI
211,211,2007.0,2583359.33,2201002,PI
212,212,2008.0,3079702.71,2201002,PI
213,213,2009.0,2878542.87,2201002,PI
214,214,2010.0,3095735.68,2201002,PI
215,215,2011.0,3812163.03,2201002,PI
216,216,2012.0,3926060.57,2201002,PI
217,217,2013.0,4222320.41,2201002,PI
218,218,2014.0,4590398.05,2201002,PI
219,219,2015.0,4888201.27,2201002,PI
220,220,2016.0,944510.98,2201002,PI
221,221,2000.0,929372.31,2201051,PI
222,222,2001.0,1075567.14,2201051,PI
223,223,2002.0,1331958.64,2201051,PI
224,224,2003.0,1414390.07,2201051,PI
225,225,2004.0,1577019.48,2201051,PI
226,226,2005.0,1982687.03,2201051,PI
227,227,2006.0,2219097.96,2201051,PI
228,228,2007.0,2583359.33,2201051,PI
229,229,2008.0,3079702.71,2201051,PI
230,230,2009.0,2878542.87,2201051,PI
231,231,2010.0,3095735.68,2201051,PI
232,232,2011.0,3812163.03,2201051,PI
233,233,2012.0,3926060.57,2201051,PI
234,234,2013.0,4222320.41,2201051,PI
235,235,2014.0,4590398.05,2201051,PI
236,236,2015.0,4888201.27,2201051,PI
237,237,2016.0,944510.98,2201051,PI
238,238,2000.0,1186373.81,2201101,PI
239,239,2001.0,1405919.82,2201101,PI
240,240,2002.0,1716233.36,2201101,PI
241,241,2003.0,1700207.52,2201101,PI
242,242,2004.0,1780253.88,2201101,PI
243,243,2005.0,2511054.28,2201101,PI
244,244,2006.0,2716259.46,2201101,PI
245,245,2007.0,3048458.75,2201101,PI
246,246,2008.0,4106270.17,2201101,PI
247,247,2009.0,3838056.94,2201101,PI
248,248,2010.0,4127647.52,2201101,PI
249,249,2011.0,5082884.0,2201101,PI
250,250,2012.0,5234747.37,2201101,PI
