,Unnamed: 0.1,uf,ano,fpm,cod
0,0,MG,2000,2306609.64,3138807
1,1,MG,2001,2583983.14,3138807
2,2,MG,2002,2987474.71,3138807
3,3,MG,2003,3047427.07,3138807
4,4,MG,2004,3290724.85,3138807
5,5,MG,2005,4793341.98,3138807
6,6,MG,2006,5323754.45,3138807
7,7,MG,2007,6150026.06,3138807
8,8,MG,2008,7582622.5,3138807
9,9,MG,2009,7123745.31,3138807
10,10,MG,2010,7653423.66,3138807
11,11,MG,2011,9405942.24,3138807
12,12,MG,2012,9691136.42,3138807
13,13,MG,2013,10409897.99,3138807
14,14,MG,2014,11227370.05,3138807
15,15,MG,2015,11938238.65,3138807
16,16,MG,2016,13921047.47,3138807
17,17,MG,2017,5046603.21,3138807
18,18,MG,2000,5382088.42,3169901
19,19,MG,2001,6260373.94,3169901
20,20,MG,2002,7724914.76,3169901
21,21,MG,2003,8079240.76,3169901
22,22,MG,2004,8958357.33,3169901
23,23,MG,2005,11990702.07,3169901
24,24,MG,2006,13311859.6,3169901
25,25,MG,2007,15375064.46,3169901
26,26,MG,2008,18956555.74,3169901
27,27,MG,2009,17809362.78,3169901
28,28,MG,2010,19133558.6,3169901
29,29,MG,2011,23514855.0,3169901
30,30,MG,2012,25843029.84,3169901
31,31,MG,2013,27759727.57,3169901
32,32,MG,2014,29939652.82,3169901
33,33,MG,2015,31835302.63,3169901
34,34,MG,2016,37122792.77,3169901
35,35,MG,2017,13457608.42,3169901
36,36,MG,2000,1153305.11,3125200
37,37,MG,2001,1341509.09,3125200
38,38,MG,2002,1655339.23,3125200
39,39,MG,2003,1731266.39,3125200
40,40,MG,2004,1919648.45,3125200
41,41,MG,2005,2399569.9,3125200
42,42,MG,2006,2662869.81,3125200
43,43,MG,2007,3075013.42,3125200
44,44,MG,2008,3791311.49,3125200
45,45,MG,2009,3561872.88,3125200
46,46,MG,2010,3826711.99,3125200
47,47,MG,2011,4702971.28,3125200
48,48,MG,2012,4845568.39,3125200
49,49,MG,2013,5204949.18,3125200
50,50,MG,2014,5613685.14,3125200
51,51,MG,2015,5969119.52,3125200
52,52,MG,2016,6960523.89,3125200
53,53,MG,2017,2523301.65,3125200
54,54,MG,2000,1551694.3,3129301
55,55,MG,2001,1839863.85,3129301
56,56,MG,2002,2240291.43,3129301
57,57,MG,2003,2216240.69,3129301
58,58,MG,2004,2315695.4,3129301
59,59,MG,2005,2735494.17,3129301
60,60,MG,2006,2849894.27,3129301
61,61,MG,2007,3077874.98,3129301
62,62,MG,2008,5055081.82,3129301
63,63,MG,2009,4749163.7,3129301
64,64,MG,2010,5102282.57,3129301
65,65,MG,2011,6270628.25,3129301
66,66,MG,2012,6460757.67,3129301
67,67,MG,2013,6939932.07,3129301
68,68,MG,2014,7484913.48,3129301
69,69,MG,2015,7958825.87,3129301
70,70,MG,2016,9280698.42,3129301
71,71,MG,2017,3364402.19,3129301
72,72,MG,2000,2306609.64,3129509
73,73,MG,2001,2683017.66,3129509
74,74,MG,2002,3310678.02,3129509
75,75,MG,2003,3462532.12,3129509
76,76,MG,2004,3839296.28,3129509
77,77,MG,2005,4799139.33,3129509
78,78,MG,2006,5325739.09,3129509
79,79,MG,2007,6150026.06,3129509
80,80,MG,2008,7582622.5,3129509
81,81,MG,2009,7123745.31,3129509
82,82,MG,2010,7653423.66,3129509
83,83,MG,2011,9405942.24,3129509
84,84,MG,2012,9691136.42,3129509
85,85,MG,2013,10409897.99,3129509
86,86,MG,2014,13098598.3,3129509
87,87,MG,2015,13927945.12,3129509
88,88,MG,2016,16241222.01,3129509
89,89,MG,2017,5887703.78,3129509
