,Unnamed: 0.1,ano,fpm,cod,uf
126,126,2007.0,3256839.3,2700805,AL
127,127,2008.0,4010043.53,2700805,AL
128,128,2009.0,3759037.03,2700805,AL
129,129,2010.0,4040324.46,2700805,AL
130,130,2011.0,4989745.21,2700805,AL
131,131,2012.0,5173980.0,2700805,AL
132,132,2013.0,5560553.63,2700805,AL
133,133,2014.0,5886103.32,2700805,AL
134,134,2015.0,6285824.26,2700805,AL
135,135,2016.0,1211842.86,2700805,AL
136,136,2000.0,2539820.35,2701001,AL
137,137,2001.0,3115729.69,2701001,AL
138,138,2002.0,4143756.15,2701001,AL
139,139,2003.0,4342573.02,2701001,AL
140,140,2004.0,4860007.62,2701001,AL
141,141,2005.0,6102974.51,2701001,AL
142,142,2006.0,6773633.13,2701001,AL
143,143,2007.0,7599290.9,2701001,AL
144,144,2008.0,9356767.75,2701001,AL
145,145,2009.0,8771085.94,2701001,AL
146,146,2010.0,9427423.34,2701001,AL
147,147,2011.0,11642738.38,2701001,AL
148,148,2012.0,12072619.59,2701001,AL
149,149,2013.0,12974624.9,2701001,AL
150,150,2014.0,13734240.68,2701001,AL
151,151,2015.0,14666922.78,2701001,AL
152,152,2016.0,2827633.32,2701001,AL
153,153,2000.0,1700428.75,2701100,AL
154,154,2001.0,1941152.42,2701100,AL
155,155,2002.0,2368649.96,2701100,AL
156,156,2003.0,2481732.64,2701100,AL
157,157,2004.0,2777147.4,2701100,AL
158,158,2005.0,3487414.3,2701100,AL
159,159,2006.0,3870647.74,2701100,AL
160,160,2007.0,5080554.42,2701100,AL
161,161,2008.0,5346724.54,2701100,AL
162,162,2009.0,5012049.31,2701100,AL
163,163,2010.0,5387099.22,2701100,AL
164,164,2011.0,6652993.51,2701100,AL
165,165,2012.0,6898639.92,2701100,AL
166,166,2013.0,7414071.55,2701100,AL
167,167,2014.0,7848137.63,2701100,AL
168,168,2015.0,8381098.81,2701100,AL
169,169,2016.0,1615790.49,2701100,AL
170,170,2000.0,1385356.78,2701209,AL
171,171,2001.0,1625284.18,2701209,AL
172,172,2002.0,1990470.84,2701209,AL
