,Unnamed: 0.1,ano,fpm,cod,uf
0,0,2000.0,1255171.21,5000252,MS
1,1,2001.0,1459186.91,5000252,MS
2,2,2002.0,1789269.99,5000252,MS
3,3,2003.0,1860042.42,5000252,MS
4,4,2004.0,2056651.73,5000252,MS
5,5,2005.0,2543378.07,5000252,MS
6,6,2006.0,2831486.3,5000252,MS
7,7,2007.0,3293939.58,5000252,MS
8,8,2008.0,4012504.25,5000252,MS
9,9,2009.0,3748566.0,5000252,MS
10,10,2010.0,4026362.66,5000252,MS
11,11,2011.0,4802269.91,5000252,MS
12,12,2012.0,4939965.41,5000252,MS
13,13,2013.0,5263881.67,5000252,MS
14,14,2014.0,5683678.98,5000252,MS
15,15,2015.0,6031885.7,5000252,MS
16,16,2016.0,1161566.9,5000252,MS
17,17,2000.0,2510341.89,5000708,MS
18,18,2001.0,2918373.32,5000708,MS
19,19,2002.0,3578539.52,5000708,MS
20,20,2003.0,3720084.35,5000708,MS
21,21,2004.0,4113302.7,5000708,MS
22,22,2005.0,5926885.6,5000708,MS
23,23,2006.0,6604132.58,5000708,MS
24,24,2007.0,7685858.23,5000708,MS
25,25,2008.0,8025008.08,5000708,MS
26,26,2009.0,7497131.56,5000708,MS
27,27,2010.0,8052725.12,5000708,MS
28,28,2011.0,11205296.02,5000708,MS
29,29,2012.0,11526585.52,5000708,MS
30,30,2013.0,12282390.09,5000708,MS
31,31,2014.0,13261917.27,5000708,MS
32,32,2015.0,14074399.56,5000708,MS
33,33,2016.0,2710322.75,5000708,MS
34,34,2000.0,1255171.21,5000807,MS
35,35,2001.0,1459186.91,5000807,MS
36,36,2002.0,1789269.99,5000807,MS
37,37,2003.0,1860042.42,5000807,MS
38,38,2004.0,2056651.73,5000807,MS
39,39,2005.0,2543378.07,5000807,MS
40,40,2006.0,2831486.3,5000807,MS
41,41,2007.0,3293939.58,5000807,MS
42,42,2008.0,4012504.25,5000807,MS
43,43,2009.0,3748566.0,5000807,MS
44,44,2010.0,4026362.66,5000807,MS
45,45,2011.0,4802269.91,5000807,MS
46,46,2012.0,4939965.41,5000807,MS
47,47,2013.0,5263881.67,5000807,MS
48,48,2014.0,5683678.98,5000807,MS
49,49,2015.0,6031885.7,5000807,MS
50,50,2016.0,1161566.9,5000807,MS
51,51,2000.0,1415189.47,5000856,MS
52,52,2001.0,1662878.62,5000856,MS
53,53,2002.0,2024938.77,5000856,MS
54,54,2003.0,2038309.99,5000856,MS
55,55,2004.0,2172349.22,5000856,MS
56,56,2005.0,2580666.94,5000856,MS
57,57,2006.0,2756302.57,5000856,MS
58,58,2007.0,3064600.77,5000856,MS
59,59,2008.0,4012504.25,5000856,MS
60,60,2009.0,3748566.0,5000856,MS
61,61,2010.0,4026362.66,5000856,MS
62,62,2011.0,4802269.91,5000856,MS
63,63,2012.0,4939965.41,5000856,MS
64,64,2013.0,5263881.67,5000856,MS
65,65,2014.0,5683678.98,5000856,MS
66,66,2015.0,6031885.7,5000856,MS
67,67,2016.0,1161566.9,5000856,MS
68,68,2000.0,1415189.47,5000906,MS
69,69,2001.0,1662878.62,5000906,MS
70,70,2002.0,2024938.77,5000906,MS
71,71,2003.0,2038309.99,5000906,MS
72,72,2004.0,2172349.22,5000906,MS
