age;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030
0;0.021641242418673;0.0208809903500634;0.0201473502427389;0.0194397064915335;0.0187574348733701;0.0180999044919938;0.0174664796336816;0.0168565215312625;0.0162693900342616;0.0157044451835128;0.0151610486891386;0.0146385653113592;0.0141363641441579;0.0136538198023745;0.013190313513324;0.0127452341145272;0.0123179789595896;0.0119079547346746;0.0115145781883761;0.011137276778107;0.0107754892363839;0.0104286660606032;0.0100962699300688;0.00977777605415804;0.00947267245558977;0.00918046019280128;0.00890065352544833;0.00863278002701333;0.00837638064845528;0.00813100973675415;0.00789623501210114
1;0.00117307590870652;0.00112647946452338;0.00108168103147931;0.00103866461668595;0.000997408110363035;0.000957883973590287;0.000920059903641668;0.000883899471842283;0.000849362730041485;0.00081640678279196;0.00078498632317875;0.0007536683714867;0.000723896976057425;0.00069561250456781;0.000668594991822297;0.000643087433056463;0.000618895418082555;0.000595960686875705;0.000574226412937243;0.0005536373261983;0.000534139807843108;0.00051568196057873;0.000498213657562818;0.000481686572893318;0.000466054196269415;0.000451271834156032;0.000437296599525723;0.000424087392014548;0.000411604870111005;0.000399811416800245;0.00038867109990781
2;0.00117307590870652;0.00112647946452338;0.00108168103147931;0.00103866461668595;0.000997408110363035;0.000957883973590287;0.000920059903641668;0.000883899471842283;0.000849362730041485;0.00081640678279196;0.00078498632317875;0.0007536683714867;0.000723896976057425;0.00069561250456781;0.000668594991822297;0.000643087433056463;0.000618895418082555;0.000595960686875705;0.000574226412937243;0.0005536373261983;0.000534139807843108;0.00051568196057873;0.000498213657562818;0.000481686572893318;0.000466054196269415;0.000451271834156032;0.000437296599525723;0.000424087392014548;0.000411604870111005;0.000399811416800245;0.00038867109990781
3;0.00117307590870652;0.00112647946452338;0.00108168103147931;0.00103866461668595;0.000997408110363035;0.000957883973590287;0.000920059903641668;0.000883899471842283;0.000849362730041485;0.00081640678279196;0.00078498632317875;0.0007536683714867;0.000723896976057425;0.00069561250456781;0.000668594991822297;0.000643087433056463;0.000618895418082555;0.000595960686875705;0.000574226412937243;0.0005536373261983;0.000534139807843108;0.00051568196057873;0.000498213657562818;0.000481686572893318;0.000466054196269415;0.000451271834156032;0.000437296599525723;0.000424087392014548;0.000411604870111005;0.000399811416800245;0.00038867109990781
4;0.00117307590870652;0.00112647946452338;0.00108168103147931;0.00103866461668595;0.000997408110363035;0.000957883973590287;0.000920059903641668;0.000883899471842283;0.000849362730041485;0.00081640678279196;0.00078498632317875;0.0007536683714867;0.000723896976057425;0.00069561250456781;0.000668594991822297;0.000643087433056463;0.000618895418082555;0.000595960686875705;0.000574226412937243;0.0005536373261983;0.000534139807843108;0.00051568196057873;0.000498213657562818;0.000481686572893318;0.000466054196269415;0.000451271834156032;0.000437296599525723;0.000424087392014548;0.000411604870111005;0.000399811416800245;0.00038867109990781
5;0.000372161872406168;0.000359923426544154;0.000348159232642886;0.000336864847835978;0.000326034237441486;0.000315659956126936;0.000305733322904518;0.000296244588665402;0.000287183095263984;0.000278537425422688;0.000270295542949958;0.000260320474982116;0.00025083896724369;0.000241831881943736;0.000233229047072688;0.00022510771379243;0.000217405869267334;0.000210104866044388;0.000203186524090186;0.000196633168933614;0.000190427660927217;0.000184553416752062;0.000178994424189008;0.000173735251080244;0.000168761049310288;0.00016405755454681;0.000159611082398904;0.000155408521574588;0.000151437324549893;0.000147685496199138;0.00014414158077932
6;0.000372161872406168;0.000359923426544154;0.000348159232642886;0.000336864847835978;0.000326034237441486;0.000315659956126936;0.000305733322904518;0.000296244588665402;0.000287183095263984;0.000278537425422688;0.000270295542949958;0.000260320474982116;0.00025083896724369;0.000241831881943736;0.000233229047072688;0.00022510771379243;0.000217405869267334;0.000210104866044388;0.000203186524090186;0.000196633168933614;0.000190427660927217;0.000184553416752062;0.000178994424189008;0.000173735251080244;0.000168761049310288;0.00016405755454681;0.000159611082398904;0.000155408521574588;0.000151437324549893;0.000147685496199138;0.00014414158077932
7;0.000372161872406168;0.000359923426544154;0.000348159232642886;0.000336864847835978;0.000326034237441486;0.000315659956126936;0.000305733322904518;0.000296244588665402;0.000287183095263984;0.000278537425422688;0.000270295542949958;0.000260320474982116;0.00025083896724369;0.000241831881943736;0.000233229047072688;0.00022510771379243;0.000217405869267334;0.000210104866044388;0.000203186524090186;0.000196633168933614;0.000190427660927217;0.000184553416752062;0.000178994424189008;0.000173735251080244;0.000168761049310288;0.00016405755454681;0.000159611082398904;0.000155408521574588;0.000151437324549893;0.000147685496199138;0.00014414158077932
8;0.000372161872406168;0.000359923426544154;0.000348159232642886;0.000336864847835978;0.000326034237441486;0.000315659956126936;0.000305733322904518;0.000296244588665402;0.000287183095263984;0.000278537425422688;0.000270295542949958;0.000260320474982116;0.00025083896724369;0.000241831881943736;0.000233229047072688;0.00022510771379243;0.000217405869267334;0.000210104866044388;0.000203186524090186;0.000196633168933614;0.000190427660927217;0.000184553416752062;0.000178994424189008;0.000173735251080244;0.000168761049310288;0.00016405755454681;0.000159611082398904;0.000155408521574588;0.000151437324549893;0.000147685496199138;0.00014414158077932
9;0.000372161872406168;0.000359923426544154;0.000348159232642886;0.000336864847835978;0.000326034237441486;0.000315659956126936;0.000305733322904518;0.000296244588665402;0.000287183095263984;0.000278537425422688;0.000270295542949958;0.000260320474982116;0.00025083896724369;0.000241831881943736;0.000233229047072688;0.00022510771379243;0.000217405869267334;0.000210104866044388;0.000203186524090186;0.000196633168933614;0.000190427660927217;0.000184553416752062;0.000178994424189008;0.000173735251080244;0.000168761049310288;0.00016405755454681;0.000159611082398904;0.000155408521574588;0.000151437324549893;0.000147685496199138;0.00014414158077932
