age;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030
0;0.0139212455253139;0.0135919692248424;0.0132725115741984;0.0129626846220785;0.0126622966036818;0.0123711525883105;0.0120890550932766;0.011815804663968;0.0115512004201447;0.0112950405687328;0.0110471228835501;0.0108072451525574;0.0105752055933525;0.0103508032377441;0.010133838286333;0.00992411243411056;0.00972142916814318;0.00952559403846755;0.00933641490335005;0.00915370215009534;0.00897726889259975;0.00880693114684991;0.00864250798556679;0.00848382167318017;0.00833069778230546;0.00818296529286984;0.00804045667500772;0.00790300795681594;0.00777045877802244;0.00764265243058735;0.00751943588721559
1;0.00082932290003953;0.0007766721509717;0.000726934766561937;0.000679953836180493;0.000635580405910508;0.000593673169378068;0.000554098145434198;0.000516728351204875;0.000481443476655275;0.000448129564960065;0.00041667870155349;0.00039945417362038;0.000383361301709168;0.00036832346958816;0.000354269078785022;0.000341131302784258;0.00032884783377981;0.000317360626917545;0.000306512189972418;0.000296454793907685;0.00028704336760936;0.00027823427695794;0.000269986983086923;0.000262263822764682;0.000255029801872392;0.000248252401878767;0.000241901399034192;0.000235948695874422;0.000230368164529838;0.000225135501272076;0.00022022809169165
2;0.00082932290003953;0.0007766721509717;0.000726934766561937;0.000679953836180493;0.000635580405910508;0.000593673169378068;0.000554098145434198;0.000516728351204875;0.000481443476655275;0.000448129564960065;0.00041667870155349;0.00039945417362038;0.000383361301709168;0.00036832346958816;0.000354269078785022;0.000341131302784258;0.00032884783377981;0.000317360626917545;0.000306512189972418;0.000296454793907685;0.00028704336760936;0.00027823427695794;0.000269986983086923;0.000262263822764682;0.000255029801872392;0.000248252401878767;0.000241901399034192;0.000235948695874422;0.000230368164529838;0.000225135501272076;0.00022022809169165
3;0.00082932290003953;0.0007766721509717;0.000726934766561937;0.000679953836180493;0.000635580405910508;0.000593673169378068;0.000554098145434198;0.000516728351204875;0.000481443476655275;0.000448129564960065;0.00041667870155349;0.00039945417362038;0.000383361301709168;0.00036832346958816;0.000354269078785022;0.000341131302784258;0.00032884783377981;0.000317360626917545;0.000306512189972418;0.000296454793907685;0.00028704336760936;0.00027823427695794;0.000269986983086923;0.000262263822764682;0.000255029801872392;0.000248252401878767;0.000241901399034192;0.000235948695874422;0.000230368164529838;0.000225135501272076;0.00022022809169165
4;0.00082932290003953;0.0007766721509717;0.000726934766561937;0.000679953836180493;0.000635580405910508;0.000593673169378068;0.000554098145434198;0.000516728351204875;0.000481443476655275;0.000448129564960065;0.00041667870155349;0.00039945417362038;0.000383361301709168;0.00036832346958816;0.000354269078785022;0.000341131302784258;0.00032884783377981;0.000317360626917545;0.000306512189972418;0.000296454793907685;0.00028704336760936;0.00027823427695794;0.000269986983086923;0.000262263822764682;0.000255029801872392;0.000248252401878767;0.000241901399034192;0.000235948695874422;0.000230368164529838;0.000225135501272076;0.00022022809169165
5;0.000270022059370756;0.000255367569146704;0.000241526548269998;0.000228454900135392;0.000216110795897578;0.00020445458241353;0.000193448687152902;0.000183057522390215;0.0001732473903353;0.000163986390345631;0.000155244328973228;0.00014862091959148;0.000142432989303374;0.000136651015019594;0.000131247412535287;0.000126196440699009;0.000121474102888677;0.000117058047672974;0.000112887700455052;0.000109021569333699;0.00010540386218231;0.00010201778526214;9.8847737748299e-05;9.58792268719704e-05;9.30987881570664e-05;9.0493910705023e-05;8.80529674139778e-05;8.57651499686108e-05;8.36204084015524e-05;8.16093950033114e-05;7.97234123436156e-05
6;0.000270022059370756;0.000255367569146704;0.000241526548269998;0.000228454900135392;0.000216110795897578;0.00020445458241353;0.000193448687152902;0.000183057522390215;0.0001732473903353;0.000163986390345631;0.000155244328973228;0.00014862091959148;0.000142432989303374;0.000136651015019594;0.000131247412535287;0.000126196440699009;0.000121474102888677;0.000117058047672974;0.000112887700455052;0.000109021569333699;0.00010540386218231;0.00010201778526214;9.8847737748299e-05;9.58792268719704e-05;9.30987881570664e-05;9.0493910705023e-05;8.80529674139778e-05;8.57651499686108e-05;8.36204084015524e-05;8.16093950033114e-05;7.97234123436156e-05
7;0.000270022059370756;0.000255367569146704;0.000241526548269998;0.000228454900135392;0.000216110795897578;0.00020445458241353;0.000193448687152902;0.000183057522390215;0.0001732473903353;0.000163986390345631;0.000155244328973228;0.00014862091959148;0.000142432989303374;0.000136651015019594;0.000131247412535287;0.000126196440699009;0.000121474102888677;0.000117058047672974;0.000112887700455052;0.000109021569333699;0.00010540386218231;0.00010201778526214;9.8847737748299e-05;9.58792268719704e-05;9.30987881570664e-05;9.0493910705023e-05;8.80529674139778e-05;8.57651499686108e-05;8.36204084015524e-05;8.16093950033114e-05;7.97234123436156e-05
8;0.000270022059370756;0.000255367569146704;0.000241526548269998;0.000228454900135392;0.000216110795897578;0.00020445458241353;0.000193448687152902;0.000183057522390215;0.0001732473903353;0.000163986390345631;0.000155244328973228;0.00014862091959148;0.000142432989303374;0.000136651015019594;0.000131247412535287;0.000126196440699009;0.000121474102888677;0.000117058047672974;0.000112887700455052;0.000109021569333699;0.00010540386218231;0.00010201778526214;9.8847737748299e-05;9.58792268719704e-05;9.30987881570664e-05;9.0493910705023e-05;8.80529674139778e-05;8.57651499686108e-05;8.36204084015524e-05;8.16093950033114e-05;7.97234123436156e-05
9;0.000270022059370756;0.000255367569146704;0.000241526548269998;0.000228454900135392;0.000216110795897578;0.00020445458241353;0.000193448687152902;0.000183057522390215;0.0001732473903353;0.000163986390345631;0.000155244328973228;0.00014862091959148;0.000142432989303374;0.000136651015019594;0.000131247412535287;0.000126196440699009;0.000121474102888677;0.000117058047672974;0.000112887700455052;0.000109021569333699;0.00010540386218231;0.00010201778526214;9.8847737748299e-05;9.58792268719704e-05;9.30987881570664e-05;9.0493910705023e-05;8.80529674139778e-05;8.57651499686108e-05;8.36204084015524e-05;8.16093950033114e-05;7.97234123436156e-05
