age;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030
0;0.025149015039275;0.0235184505518332;0.022270839693824;0.0213113510906446;0.0205652518346026;0.0199754727965321;0.019499369267818;0.0191055534974918;0.0187711669969375;0.0184796867378633;0.0182192320641283;0.0179812921636989;0.0177597863081524;0.0175503780812066;0.0173499790513701;0.0171563916042034;0.0169680529438666;0.0167838521230691;0.016602999528075;0.01642493391126;0.0162492562351962;0.0160756826292861;0.0159040109543043;0.0157340970473293;0.0155658378489534;0.0153991594213501;0.0152340084409538;0.0150703461590763;0.0149081441151715;0.0147473810946416;0.0145880409703107
1;0.00105936120573776;0.00104496354477668;0.00103035685512765;0.00101577677219809;0.00100138079783385;0.000987322283082903;0.000973685354102215;0.000960529686809333;0.000947891152631027;0.000935812817033458;0.000924227139520637;0.00089307226273302;0.000863374291669097;0.000835106091050457;0.000808231506568035;0.00078270831534561;0.00075849035513894;0.000735529067059343;0.000713774618402295;0.000693176723401028;0.000673685245213855;0.000655250638171378;0.000637824272273245;0.000621358669981892;0.000605807676980305;0.000591126582665498;0.000577272201984133;0.00056420292725821;0.00055187875653002;0.00054014016324636;0.000529188038597815
2;0.00105936120573776;0.00104496354477668;0.00103035685512765;0.00101577677219809;0.00100138079783385;0.000987322283082903;0.000973685354102215;0.000960529686809333;0.000947891152631027;0.000935812817033458;0.000924227139520637;0.00089307226273302;0.000863374291669097;0.000835106091050457;0.000808231506568035;0.00078270831534561;0.00075849035513894;0.000735529067059343;0.000713774618402295;0.000693176723401028;0.000673685245213855;0.000655250638171378;0.000637824272273245;0.000621358669981892;0.000605807676980305;0.000591126582665498;0.000577272201984133;0.00056420292725821;0.00055187875653002;0.00054014016324636;0.000529188038597815
3;0.00105936120573776;0.00104496354477668;0.00103035685512765;0.00101577677219809;0.00100138079783385;0.000987322283082903;0.000973685354102215;0.000960529686809333;0.000947891152631027;0.000935812817033458;0.000924227139520637;0.00089307226273302;0.000863374291669097;0.000835106091050457;0.000808231506568035;0.00078270831534561;0.00075849035513894;0.000735529067059343;0.000713774618402295;0.000693176723401028;0.000673685245213855;0.000655250638171378;0.000637824272273245;0.000621358669981892;0.000605807676980305;0.000591126582665498;0.000577272201984133;0.00056420292725821;0.00055187875653002;0.00054014016324636;0.000529188038597815
4;0.00105936120573776;0.00104496354477668;0.00103035685512765;0.00101577677219809;0.00100138079783385;0.000987322283082903;0.000973685354102215;0.000960529686809333;0.000947891152631027;0.000935812817033458;0.000924227139520637;0.00089307226273302;0.000863374291669097;0.000835106091050457;0.000808231506568035;0.00078270831534561;0.00075849035513894;0.000735529067059343;0.000713774618402295;0.000693176723401028;0.000673685245213855;0.000655250638171378;0.000637824272273245;0.000621358669981892;0.000605807676980305;0.000591126582665498;0.000577272201984133;0.00056420292725821;0.00055187875653002;0.00054014016324636;0.000529188038597815
5;0.00103525705499543;0.000963134740288082;0.0008899518637942;0.000816886266302078;0.000744725991885732;0.000674239578390926;0.000605849542831564;0.000539856401069398;0.00047644164990427;0.000415823125873018;0.0003576636073588;0.000346148061572742;0.000335172042533072;0.000324725371144196;0.000314794548433572;0.000305363845750764;0.000296416091139408;0.000287933238783296;0.000279896783174878;0.000272288061604396;0.000265088475794132;0.000258279654515236;0.000251843572719922;0.000245762638302604;0.000240019754502522;0.000234598363779044;0.00022948247744966;0.000224656694286066;0.000220106210479872;0.00021577209687418;0.000211728498714014
6;0.00103525705499543;0.000963134740288082;0.0008899518637942;0.000816886266302078;0.000744725991885732;0.000674239578390926;0.000605849542831564;0.000539856401069398;0.00047644164990427;0.000415823125873018;0.0003576636073588;0.000346148061572742;0.000335172042533072;0.000324725371144196;0.000314794548433572;0.000305363845750764;0.000296416091139408;0.000287933238783296;0.000279896783174878;0.000272288061604396;0.000265088475794132;0.000258279654515236;0.000251843572719922;0.000245762638302604;0.000240019754502522;0.000234598363779044;0.00022948247744966;0.000224656694286066;0.000220106210479872;0.00021577209687418;0.000211728498714014
7;0.00103525705499543;0.000963134740288082;0.0008899518637942;0.000816886266302078;0.000744725991885732;0.000674239578390926;0.000605849542831564;0.000539856401069398;0.00047644164990427;0.000415823125873018;0.0003576636073588;0.000346148061572742;0.000335172042533072;0.000324725371144196;0.000314794548433572;0.000305363845750764;0.000296416091139408;0.000287933238783296;0.000279896783174878;0.000272288061604396;0.000265088475794132;0.000258279654515236;0.000251843572719922;0.000245762638302604;0.000240019754502522;0.000234598363779044;0.00022948247744966;0.000224656694286066;0.000220106210479872;0.00021577209687418;0.000211728498714014
8;0.00103525705499543;0.000963134740288082;0.0008899518637942;0.000816886266302078;0.000744725991885732;0.000674239578390926;0.000605849542831564;0.000539856401069398;0.00047644164990427;0.000415823125873018;0.0003576636073588;0.000346148061572742;0.000335172042533072;0.000324725371144196;0.000314794548433572;0.000305363845750764;0.000296416091139408;0.000287933238783296;0.000279896783174878;0.000272288061604396;0.000265088475794132;0.000258279654515236;0.000251843572719922;0.000245762638302604;0.000240019754502522;0.000234598363779044;0.00022948247744966;0.000224656694286066;0.000220106210479872;0.00021577209687418;0.000211728498714014
9;0.00103525705499543;0.000963134740288082;0.0008899518637942;0.000816886266302078;0.000744725991885732;0.000674239578390926;0.000605849542831564;0.000539856401069398;0.00047644164990427;0.000415823125873018;0.0003576636073588;0.000346148061572742;0.000335172042533072;0.000324725371144196;0.000314794548433572;0.000305363845750764;0.000296416091139408;0.000287933238783296;0.000279896783174878;0.000272288061604396;0.000265088475794132;0.000258279654515236;0.000251843572719922;0.000245762638302604;0.000240019754502522;0.000234598363779044;0.00022948247744966;0.000224656694286066;0.000220106210479872;0.00021577209687418;0.000211728498714014
