age;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030
0;0.0210344246315311;0.0200863951069301;0.0191803551928861;0.018315268897752;0.0174900403466653;0.0167035239937369;0.0159545343743721;0.0152418553258079;0.0145642486213962;0.0139204619803491;0.0133092364293552;0.0127293130055393;0.0121794388015969;0.0116583723635946;0.0111648884599413;0.0106977822464766;0.0102558728576279;0.00983800645727703;0.00944305878550168;0.00906993723886949;0.00871758252259856;0.00838496991281124;0.00807111016642006;0.00777505011501981;0.00749587297762625;0.00723269842529412;0.00698468242864897;0.00675101691724831;0.00653092927750863;0.00632368171374439;0.00612857049470107
1;0.00100249368012816;0.000949401833549973;0.000898463874790922;0.000849346222815168;0.000802565375410228;0.000757819945621727;0.000715049275583245;0.000674386801759182;0.00063532105483056;0.00059803950145772;0.000562483173000925;0.000545348426212235;0.000528738124968278;0.00051264407776875;0.0004969458864483;0.000481844061641733;0.000467234780038505;0.00045310728699338;0.00043945061152024;0.000426253614269287;0.000413505032168225;0.000401193519764067;0.00038930768733018;0.000377836135825495;0.000366767488811482;0.00035609042144665;0.000345793686689305;0.00033586613884684;0.000326296754614973;0.000317074651752752;0.000308189105540088
2;0.00100249368012816;0.000949401833549973;0.000898463874790922;0.000849346222815168;0.000802565375410228;0.000757819945621727;0.000715049275583245;0.000674386801759182;0.00063532105483056;0.00059803950145772;0.000562483173000925;0.000545348426212235;0.000528738124968278;0.00051264407776875;0.0004969458864483;0.000481844061641733;0.000467234780038505;0.00045310728699338;0.00043945061152024;0.000426253614269287;0.000413505032168225;0.000401193519764067;0.00038930768733018;0.000377836135825495;0.000366767488811482;0.00035609042144665;0.000345793686689305;0.00033586613884684;0.000326296754614973;0.000317074651752752;0.000308189105540088
3;0.00100249368012816;0.000949401833549973;0.000898463874790922;0.000849346222815168;0.000802565375410228;0.000757819945621727;0.000715049275583245;0.000674386801759182;0.00063532105483056;0.00059803950145772;0.000562483173000925;0.000545348426212235;0.000528738124968278;0.00051264407776875;0.0004969458864483;0.000481844061641733;0.000467234780038505;0.00045310728699338;0.00043945061152024;0.000426253614269287;0.000413505032168225;0.000401193519764067;0.00038930768733018;0.000377836135825495;0.000366767488811482;0.00035609042144665;0.000345793686689305;0.00033586613884684;0.000326296754614973;0.000317074651752752;0.000308189105540088
4;0.00100249368012816;0.000949401833549973;0.000898463874790922;0.000849346222815168;0.000802565375410228;0.000757819945621727;0.000715049275583245;0.000674386801759182;0.00063532105483056;0.00059803950145772;0.000562483173000925;0.000545348426212235;0.000528738124968278;0.00051264407776875;0.0004969458864483;0.000481844061641733;0.000467234780038505;0.00045310728699338;0.00043945061152024;0.000426253614269287;0.000413505032168225;0.000401193519764067;0.00038930768733018;0.000377836135825495;0.000366767488811482;0.00035609042144665;0.000345793686689305;0.00033586613884684;0.000326296754614973;0.000317074651752752;0.000308189105540088
5;0.000399745892465378;0.00038083963233665;0.000362703450012204;0.000345218211435674;0.00032856740957794;0.000312643410916172;0.000297424311384344;0.000282957284436842;0.000269060097909064;0.000255799209463496;0.000243153418616656;0.000236147110552652;0.000229355588262604;0.0002227754689366;0.000216357499866862;0.000210183625145606;0.00020421137005234;0.000198436311413214;0.000192853939434329;0.000187459677235932;0.000182248899021423;0.000177216946896971;0.000172359146368826;0.000167670820554487;0.000163147303151424;0.000158783950212703;0.000154576150783359;0.000150519336454299;0.00014660898989259;0.000142840652407935;0.000139209930615434
6;0.000399745892465378;0.00038083963233665;0.000362703450012204;0.000345218211435674;0.00032856740957794;0.000312643410916172;0.000297424311384344;0.000282957284436842;0.000269060097909064;0.000255799209463496;0.000243153418616656;0.000236147110552652;0.000229355588262604;0.0002227754689366;0.000216357499866862;0.000210183625145606;0.00020421137005234;0.000198436311413214;0.000192853939434329;0.000187459677235932;0.000182248899021423;0.000177216946896971;0.000172359146368826;0.000167670820554487;0.000163147303151424;0.000158783950212703;0.000154576150783359;0.000150519336454299;0.00014660898989259;0.000142840652407935;0.000139209930615434
7;0.000399745892465378;0.00038083963233665;0.000362703450012204;0.000345218211435674;0.00032856740957794;0.000312643410916172;0.000297424311384344;0.000282957284436842;0.000269060097909064;0.000255799209463496;0.000243153418616656;0.000236147110552652;0.000229355588262604;0.0002227754689366;0.000216357499866862;0.000210183625145606;0.00020421137005234;0.000198436311413214;0.000192853939434329;0.000187459677235932;0.000182248899021423;0.000177216946896971;0.000172359146368826;0.000167670820554487;0.000163147303151424;0.000158783950212703;0.000154576150783359;0.000150519336454299;0.00014660898989259;0.000142840652407935;0.000139209930615434
8;0.000399745892465378;0.00038083963233665;0.000362703450012204;0.000345218211435674;0.00032856740957794;0.000312643410916172;0.000297424311384344;0.000282957284436842;0.000269060097909064;0.000255799209463496;0.000243153418616656;0.000236147110552652;0.000229355588262604;0.0002227754689366;0.000216357499866862;0.000210183625145606;0.00020421137005234;0.000198436311413214;0.000192853939434329;0.000187459677235932;0.000182248899021423;0.000177216946896971;0.000172359146368826;0.000167670820554487;0.000163147303151424;0.000158783950212703;0.000154576150783359;0.000150519336454299;0.00014660898989259;0.000142840652407935;0.000139209930615434
9;0.000399745892465378;0.00038083963233665;0.000362703450012204;0.000345218211435674;0.00032856740957794;0.000312643410916172;0.000297424311384344;0.000282957284436842;0.000269060097909064;0.000255799209463496;0.000243153418616656;0.000236147110552652;0.000229355588262604;0.0002227754689366;0.000216357499866862;0.000210183625145606;0.00020421137005234;0.000198436311413214;0.000192853939434329;0.000187459677235932;0.000182248899021423;0.000177216946896971;0.000172359146368826;0.000167670820554487;0.000163147303151424;0.000158783950212703;0.000154576150783359;0.000150519336454299;0.00014660898989259;0.000142840652407935;0.000139209930615434
10;0.000459804473257332;0.000446545156284026;0.0004338262614223;0.000421564199408632;0.00040988760964532;0.00039872097177571;0.000388048889805444;0.000377904408331178;0.000368159713422842;0.000358861378827588;0.000349994512988362;0.000339549173060018;0.000329423874383332;0.000319613589524496;0.00031004490127396;0.000300839996109018;0.000291935561731404;0.000283325016428052;0.00027500164852587;0.000266958645540996;0.000259189121294842;0.000251686141020034;0.000244442744496168;0.00023745196726892;0.000230706860017244;0.000224200506141998;0.000217926037655948;0.000211876649459576;0.00020604561209028;0.00020042628303392;0.000195012116688176
11;0.000459804473257332;0.000446545156284026;0.0004338262614223;0.000421564199408632;0.00040988760964532;0.00039872097177571;0.000388048889805444;0.000377904408331178;0.000368159713422842;0.000358861378827588;0.000349994512988362;0.000339549173060018;0.000329423874383332;0.000319613589524496;0.00031004490127396;0.000300839996109018;0.000291935561731404;0.000283325016428052;0.00027500164852587;0.000266958645540996;0.000259189121294842;0.000251686141020034;0.000244442744496168;0.00023745196726892;0.000230706860017244;0.000224200506141998;0.000217926037655948;0.000211876649459576;0.00020604561209028;0.00020042628303392;0.000195012116688176
12;0.000459804473257332;0.000446545156284026;0.0004338262614223;0.000421564199408632;0.00040988760964532;0.00039872097177571;0.000388048889805444;0.000377904408331178;0.000368159713422842;0.000358861378827588;0.000349994512988362;0.000339549173060018;0.000329423874383332;0.000319613589524496;0.00031004490127396;0.000300839996109018;0.000291935561731404;0.000283325016428052;0.00027500164852587;0.000266958645540996;0.000259189121294842;0.000251686141020034;0.000244442744496168;0.00023745196726892;0.000230706860017244;0.000224200506141998;0.000217926037655948;0.000211876649459576;0.00020604561209028;0.00020042628303392;0.000195012116688176
